"SRR634969" "SRR634970" "SRR634971" "SRR634972" "SRR634973" "SRR634974"
"AT1G01010" 138 360 214 209 389 511
"AT1G01020" 133 389 220 196 290 444
"AT1G01030" 72 176 67 102 188 163
"AT1G01040" 898 2434 1251 1145 1947 2415
"AT1G01046" 16 25 9 8 12 24
"AT1G01050" 865 2232 1238 939 1377 1627
"AT1G01060" 2292 5569 421 2487 3409 837
"AT1G01070" 228 548 289 177 325 276
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 738 1724 966 677 1361 1808
"AT1G01090" 2836 6854 3176 3152 4903 5091
"AT1G01100" 2310 5825 2557 2493 4536 5381
"AT1G01110" 59 156 112 79 111 166
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 816 1880 922 1032 1608 1734
"AT1G01130" 16 47 21 26 54 50
"AT1G01140" 329 1047 648 690 1105 1114
"AT1G01150" 1 1 0 0 2 1
"AT1G01160" 373 1046 565 364 645 864
"AT1G01170" 455 1024 822 433 865 1462
"AT1G01180" 88 221 129 106 144 218
"AT1G01183" 1 0 0 1 0 3
"AT1G01190" 148 479 224 284 294 535
"AT1G01200" 27 91 35 25 46 59
"AT1G01210" 119 261 161 111 231 277
"AT1G01220" 465 1156 600 494 784 1003
"AT1G01225" 41 139 55 36 42 73
"AT1G01230" 212 516 336 223 293 406
"AT1G01240" 362 945 795 334 515 710
"AT1G01250" 27 87 54 33 94 51
"AT1G01260" 305 799 440 397 634 756
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 0 1 0 0 0 0
"AT1G01290" 147 523 270 206 388 526
"AT1G01300" 678 1656 905 664 1137 1559
"AT1G01305" 0 0 0 0 1 0
"AT1G01310" 1 2 0 0 2 3
"AT1G01320" 7040 17576 8681 7222 13382 15023
"AT1G01340" 46 105 58 79 124 140
"AT1G01350" 237 652 355 280 545 713
"AT1G01355" 1 3 8 0 4 1
"AT1G01360" 169 514 298 261 455 487
"AT1G01370" 48 115 58 50 75 112
"AT1G01380" 17 47 25 23 48 47
"AT1G01390" 43 121 55 34 48 52
"AT1G01400" 0 0 0 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 127 352 186 181 310 357
"AT1G01430" 666 1796 967 906 1441 1732
"AT1G01440" 260 683 445 349 512 673
"AT1G01448" 93 226 145 90 164 234
"AT1G01450" 0 0 0 0 0 0
"AT1G01453" 33 103 108 60 51 73
"AT1G01460" 0 2 2 0 0 0
"AT1G01470" 761 1561 1336 589 1068 1036
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 47 97 68 83 127 113
"AT1G01490" 960 2008 1142 1016 1602 1775
"AT1G01500" 114 352 303 171 421 671
"AT1G01510" 594 1512 788 713 1222 1478
"AT1G01520" 129 355 96 119 281 125
"AT1G01530" 0 0 1 0 1 2
"AT1G01540" 822 2051 1091 873 1493 1641
"AT1G01550" 1530 3974 2672 1979 3832 5011
"AT1G01560" 7 36 33 35 61 86
"AT1G01570" 31 86 36 31 80 76
"AT1G01580" 287 392 139 125 76 177
"AT1G01590" 3 7 4 5 5 5
"AT1G01600" 123 325 179 92 183 258
"AT1G01610" 1057 2479 1263 1119 2021 2240
"AT1G01620" 6190 13959 6918 6562 7692 8899
"AT1G01630" 544 1437 806 884 1658 1970
"AT1G01640" 48 163 162 101 178 249
"AT1G01650" 395 1060 682 487 832 943
"AT1G01660" 44 100 70 50 80 94
"AT1G01670" 15 52 37 18 47 56
"AT1G01680" 6 14 12 22 18 21
"AT1G01690" 81 216 106 97 156 222
"AT1G01695" 6 29 14 10 22 16
"AT1G01700" 28 85 57 30 74 63
"AT1G01710" 439 1167 706 548 1019 1145
"AT1G01720" 971 2655 1364 1299 2629 2950
"AT1G01725" 46 105 75 46 68 122
"AT1G01730" 232 598 340 356 713 929
"AT1G01740" 84 252 156 126 230 268
"AT1G01750" 169 488 304 217 211 324
"AT1G01760" 61 145 70 67 95 126
"AT1G01770" 369 977 630 397 730 1104
"AT1G01780" 197 510 335 172 258 397
"AT1G01790" 1708 4887 2515 2176 3092 3130
"AT1G01800" 664 2039 1118 1062 2153 2660
"AT1G01810" 4 21 12 9 22 31
"AT1G01820" 349 1008 974 448 853 1739
"AT1G01830" 241 701 449 370 742 793
"AT1G01840" 28 50 34 24 38 39
"AT1G01860" 122 362 221 126 270 432
"AT1G01870" 0 0 0 0 0 0
"AT1G01880" 29 91 41 45 68 89
"AT1G01890" 0 0 0 0 0 0
"AT1G01900" 149 488 228 135 284 211
"AT1G01910" 473 1323 797 611 965 1311
"AT1G01920" 221 640 311 313 606 809
"AT1G01930" 206 485 304 215 405 541
"AT1G01940" 85 220 119 84 160 232
"AT1G01950" 311 837 409 401 687 737
"AT1G01960" 1946 5185 3006 2477 4348 5040
"AT1G01970" 310 877 465 307 611 713
"AT1G01980" 0 0 0 0 0 0
"AT1G01990" 195 604 417 269 595 678
"AT1G02000" 197 555 323 249 387 442
"AT1G02010" 166 471 239 192 281 325
"AT1G02020" 287 709 440 284 554 745
"AT1G02030" 10 23 18 15 18 18
"AT1G02040" 1 1 0 1 5 4
"AT1G02050" 133 320 193 147 296 297
"AT1G02060" 139 300 183 184 342 393
"AT1G02065" 29 126 80 43 99 184
"AT1G02070" 5 11 5 2 8 14
"AT1G02074" 0 0 0 1 0 3
"AT1G02080" 2457 6559 3814 3254 6150 7204
"AT1G02090" 340 930 530 423 659 808
"AT1G02100" 413 965 602 444 793 954
"AT1G02110" 443 1090 537 445 806 836
"AT1G02120" 856 2301 1518 1094 1893 2403
"AT1G02130" 449 1127 705 563 954 1262
"AT1G02136" 0 0 0 0 0 0
"AT1G02140" 1090 2731 1428 1107 1984 2627
"AT1G02145" 256 681 394 282 541 696
"AT1G02150" 1350 3261 1864 1283 2363 3090
"AT1G02160" 127 324 221 152 304 419
"AT1G02170" 401 1045 585 527 928 983
"AT1G02180" 55 118 61 49 131 122
"AT1G02190" 25 62 68 38 69 241
"AT1G02205" 920 2581 2283 1056 3192 4006
"AT1G02210" 0 0 0 0 0 0
"AT1G02220" 303 823 512 517 1149 922
"AT1G02228" 0 0 0 0 0 0
"AT1G02230" 16 42 46 40 104 93
"AT1G02250" 0 0 1 0 3 2
"AT1G02260" 200 502 420 257 438 642
"AT1G02270" 193 481 396 196 460 714
"AT1G02280" 766 1699 840 690 1188 1505
"AT1G02290" 138 405 189 174 279 396
"AT1G02300" 139 399 519 155 422 955
"AT1G02305" 1225 3181 2356 1455 2854 3545
"AT1G02310" 46 106 90 70 103 114
"AT1G02320" 0 0 0 0 0 0
"AT1G02330" 291 774 443 391 643 803
"AT1G02335" 241 628 316 229 349 367
"AT1G02340" 61 161 109 64 88 99
"AT1G02350" 16 38 37 22 44 39
"AT1G02360" 82 193 139 119 140 229
"AT1G02370" 118 263 151 181 333 417
"AT1G02380" 37 82 40 36 74 75
"AT1G02390" 80 220 175 135 302 251
"AT1G02391" 0 0 0 0 0 0
"AT1G02400" 68 161 100 96 123 132
"AT1G02405" 3 2 7 6 5 5
"AT1G02410" 242 665 407 362 603 747
"AT1G02420" 61 201 103 77 148 197
"AT1G02430" 23 57 41 27 47 63
"AT1G02440" 2 3 6 1 2 3
"AT1G02450" 3 8 5 7 17 13
"AT1G02460" 40 85 65 33 75 76
"AT1G02470" 23 44 35 47 98 72
"AT1G02475" 560 1488 1061 621 1338 1544
"AT1G02480" 0 0 0 0 0 0
"AT1G02490" 1 3 3 1 1 1
"AT1G02500" 6200 16568 8239 7429 10571 10965
"AT1G02510" 0 0 0 0 0 0
"AT1G02520" 236 625 374 273 375 507
"AT1G02530" 11 47 30 14 26 31
"AT1G02540" 0 0 0 0 0 0
"AT1G02550" 0 0 0 0 0 0
"AT1G02560" 2090 5512 4214 2161 4133 6203
"AT1G02570" 29 91 47 21 39 36
"AT1G02575" 6 9 5 0 1 5
"AT1G02580" 10 19 12 14 15 23
"AT1G02590" 0 0 0 0 0 0
"AT1G02600" 0 0 0 0 0 0
"AT1G02610" 30 62 75 46 43 86
"AT1G02620" 2 5 17 3 0 1
"AT1G02630" 5 19 19 6 2 7
"AT1G02640" 383 765 372 237 205 273
"AT1G02650" 14 33 27 19 22 36
"AT1G02660" 156 279 350 254 315 449
