"GSM1068665" "GSM1068666" "GSM1068667" "GSM1068668" "GSM1226366" "GSM1226367" "GSM1226368" "GSM1226369"
"AT1G01010" 456 296 41 30 806 446 209 339
"AT1G01020" 159 280 16 18 551 507 65 180
"AT1G01030" 27 71 2 1 113 108 16 42
"AT1G01040" 2788 2231 92 114 3864 3082 236 750
"AT1G01046" 72 38 1 0 134 52 2 0
"AT1G01050" 821 1033 139 133 2730 2250 1139 2271
"AT1G01060" 407 254 26 14 1474 1334 195 566
"AT1G01070" 211 161 19 25 358 274 184 262
"AT1G01073" 1 0 0 0 1 0 0 0
"AT1G01080" 211 881 26 120 1204 2824 406 2250
"AT1G01090" 5799 5262 1155 985 9675 7323 4836 8174
"AT1G01100" 1816 2310 267 314 4766 5087 2358 4217
"AT1G01110" 294 95 38 7 375 116 131 76
"AT1G01115" 0 0 0 0 0 0 0 0
"AT1G01120" 13433 13363 4332 2472 29277 18433 17665 19599
"AT1G01130" 50 51 8 3 97 70 47 54
"AT1G01140" 1457 1571 295 276 3578 2442 1504 2089
"AT1G01150" 7 4 5 3 5 12 4 17
"AT1G01160" 853 609 115 119 846 1027 313 627
"AT1G01170" 390 482 108 142 928 819 648 1313
"AT1G01180" 1728 1295 230 144 1736 1758 668 1294
"AT1G01183" 0 0 0 0 0 4 0 0
"AT1G01190" 19 17 4 1 47 26 33 34
"AT1G01200" 110 53 31 7 537 222 190 130
"AT1G01210" 151 164 12 18 266 267 65 156
"AT1G01220" 565 642 44 59 1100 1340 291 767
"AT1G01225" 117 94 17 16 170 209 74 196
"AT1G01230" 1017 663 237 118 1564 1096 961 1003
"AT1G01240" 1144 871 97 48 1256 1098 226 259
"AT1G01250" 7 12 1 2 5 14 2 13
"AT1G01260" 1259 753 61 36 1597 907 265 295
"AT1G01270" 45 113 999 2209 30 40 20364 12430
"AT1G01280" 0 0 0 0 0 0 0 0
"AT1G01290" 264 261 30 19 407 369 114 179
"AT1G01300" 2874 1642 566 237 4009 2783 3239 4366
"AT1G01305" 0 1 0 0 1 1 0 0
"AT1G01310" 8 9 1 1 10 3 0 0
"AT1G01320" 5332 16336 468 3093 9925 15780 2970 27454
"AT1G01340" 165 112 12 7 263 223 56 126
"AT1G01350" 377 373 35 34 518 512 177 279
"AT1G01355" 7 2 0 0 15 4 0 0
"AT1G01360" 953 936 112 86 850 1277 317 788
"AT1G01370" 47 33 6 3 93 119 36 58
"AT1G01380" 25 20 1 0 162 94 52 40
"AT1G01390" 500 738 103 163 1050 925 492 1019
"AT1G01400" 1 0 0 0 2 1 0 0
"AT1G01410" 0 0 0 0 0 0 0 0
"AT1G01420" 90 205 9 27 116 398 34 287
"AT1G01430" 3000 5705 622 829 4260 6678 2151 6514
"AT1G01440" 1410 1601 216 186 1738 1764 570 1051
"AT1G01448" 363 210 8 0 444 289 8 3
"AT1G01450" 0 3 0 0 3 9 0 0
"AT1G01453" 18 22 2 0 2 8 1 5
"AT1G01460" 0 0 0 0 0 0 0 0
"AT1G01470" 1757 3627 521 640 2630 4593 1516 4516
"AT1G01471" 0 0 0 0 0 1 0 0
"AT1G01480" 367 396 45 47 256 332 120 255
"AT1G01490" 3779 4307 487 401 4030 3757 1247 2347
"AT1G01500" 697 581 74 60 428 483 157 280
"AT1G01510" 1562 981 136 96 1935 1428 563 879
"AT1G01520" 12 106 5 15 11 94 3 98
"AT1G01530" 0 0 0 0 0 0 0 0
"AT1G01540" 2042 2824 113 209 3478 3344 580 1345
"AT1G01550" 12113 8768 2529 1393 11017 8090 5416 7022
"AT1G01560" 50 22 11 4 24 24 17 23
"AT1G01570" 29 33 4 5 46 67 18 69
"AT1G01580" 26 18 1 3 27 15 23 23
"AT1G01590" 48 30 7 2 28 23 6 10
"AT1G01600" 898 257 248 69 2044 444 1362 473
"AT1G01610" 1831 3036 475 669 4550 4969 2943 5524
"AT1G01620" 87570 62910 26170 11020 103062 34691 65515 41486
"AT1G01630" 850 947 144 122 2417 2705 1078 2205
"AT1G01640" 534 376 39 32 488 282 186 226
"AT1G01650" 1193 1537 243 217 2055 1882 639 1238
"AT1G01660" 1 0 0 0 6 1 0 0
"AT1G01670" 2 5 0 0 10 22 0 2
"AT1G01680" 3 3 0 1 7 9 1 3
"AT1G01690" 77 60 8 8 139 164 38 76
"AT1G01695" 5 3 0 0 8 8 0 2
"AT1G01700" 53 25 3 2 139 46 13 24
"AT1G01710" 1073 925 127 105 1368 1410 359 798
"AT1G01720" 2915 2512 233 234 1938 1968 380 793
"AT1G01725" 153 130 23 12 243 145 74 68
"AT1G01730" 1303 702 116 70 1296 768 422 534
"AT1G01740" 77 96 3 2 157 197 6 30
"AT1G01750" 19 37 1 0 43 36 5 2
"AT1G01760" 65 66 6 2 120 137 15 35
"AT1G01770" 2317 1415 109 51 1434 1155 132 300
"AT1G01780" 2673 2055 128 160 1731 1208 290 945
"AT1G01790" 998 4511 131 493 2427 7834 697 4307
"AT1G01800" 1526 1612 178 204 2069 2532 1034 2259
"AT1G01810" 24 16 3 1 28 17 8 11
"AT1G01820" 1843 1668 251 180 2286 1988 794 1351
"AT1G01830" 672 651 73 39 1088 834 301 411
"AT1G01840" 17 22 4 7 12 30 10 33
"AT1G01860" 95 249 15 40 290 436 85 366
"AT1G01870" 11 5 45 81 4 0 98 89
"AT1G01880" 83 108 12 7 111 107 31 62
"AT1G01890" 1 11 139 229 1 0 245 252
"AT1G01900" 558 479 128 97 733 713 542 830
"AT1G01910" 920 1281 157 173 1492 1843 720 1627
"AT1G01920" 267 210 25 17 473 381 83 131
"AT1G01930" 512 660 67 87 685 815 206 562
"AT1G01940" 200 325 33 46 250 457 128 416
"AT1G01950" 788 606 98 82 1590 1110 507 794
"AT1G01960" 4333 4464 593 471 6299 4762 2248 4585
"AT1G01970" 350 1127 25 113 814 2185 149 1169
"AT1G01980" 0 0 0 2 2 0 0 0
"AT1G01990" 542 573 29 32 692 668 63 190
"AT1G02000" 1107 1300 147 124 945 838 491 920
"AT1G02010" 534 430 48 27 963 573 126 127
"AT1G02020" 612 714 56 61 615 508 159 383
"AT1G02030" 24 33 4 0 32 28 12 20
"AT1G02040" 4 6 0 0 3 4 1 0
"AT1G02050" 182 144 1 0 252 128 4 1
"AT1G02060" 274 196 5 2 404 188 11 20
"AT1G02065" 1 2 0 0 3 5 0 3
"AT1G02070" 3 5 1 1 1 1 0 1
"AT1G02074" 9 3 0 1 5 3 2 1
"AT1G02080" 8494 7032 1182 1024 8869 6674 3553 7623
"AT1G02090" 483 997 89 148 998 1636 422 1248
"AT1G02100" 2612 1930 103 90 2762 1939 297 580
"AT1G02110" 622 417 35 14 989 675 144 313
"AT1G02120" 2992 1717 242 122 4589 3472 773 1177
"AT1G02130" 1598 1957 276 236 1872 1907 1040 1822
"AT1G02136" 1 0 0 0 0 1 0 0
"AT1G02140" 2876 3935 500 440 4104 4724 1658 3357
"AT1G02145" 415 382 48 44 869 766 159 407
"AT1G02150" 2200 3180 76 364 3580 4650 444 4147
"AT1G02160" 278 259 30 11 494 466 142 210
"AT1G02170" 1345 944 162 158 1517 1221 629 858
