"GSM1173202" "GSM1173203" "GSM1173204" "GSM1173205" "GSM1173206" "GSM1173207"
"AT1G01010" 108 108 1047 799 299 320
"AT1G01020" 208 270 380 358 264 278
"AT1G01030" 30 38 746 592 24 46
"AT1G01040" 670 989 3588 3683 1931 2657
"AT1G01046" 9 15 28 47 20 33
"AT1G01050" 826 1533 1208 1265 1798 1512
"AT1G01060" 2648 55 27 33 259 499
"AT1G01070" 119 44 193 436 897 701
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 1228 2992 1591 1540 641 707
"AT1G01090" 2778 4283 5388 5574 4076 4368
"AT1G01100" 2000 2892 2047 1797 1434 1244
"AT1G01110" 46 42 21 30 12 14
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 2690 4173 20078 25053 15724 17650
"AT1G01130" 33 15 12 12 23 12
"AT1G01140" 731 1681 2261 2607 3869 3993
"AT1G01150" 3 2 0 0 0 1
"AT1G01160" 377 383 667 726 1330 1152
"AT1G01170" 420 1334 767 831 907 858
"AT1G01180" 253 452 165 226 286 307
"AT1G01183" 0 0 0 0 1 0
"AT1G01190" 69 63 50 54 3 2
"AT1G01200" 42 9 5 5 0 0
"AT1G01210" 96 157 135 175 191 177
"AT1G01220" 284 1060 762 825 736 994
"AT1G01225" 76 86 49 41 53 49
"AT1G01230" 338 762 1328 1284 1214 1123
"AT1G01240" 381 1194 4660 6039 9974 10849
"AT1G01250" 11 92 267 307 787 880
"AT1G01260" 264 372 315 415 466 528
"AT1G01270" 0 0 0 1 0 0
"AT1G01280" 0 7 0 1 2 1
"AT1G01290" 124 472 324 295 776 756
"AT1G01300" 962 1393 959 769 241 288
"AT1G01305" 0 0 0 0 0 0
"AT1G01310" 3 0 2 8 3 5
"AT1G01320" 4614 11654 10298 14990 16276 20951
"AT1G01340" 105 85 93 139 71 59
"AT1G01350" 159 336 637 703 624 615
"AT1G01355" 4 17 23 24 41 20
"AT1G01360" 211 258 979 1146 743 738
"AT1G01370" 52 53 24 23 11 6
"AT1G01380" 49 7 13 14 8 8
"AT1G01390" 63 53 19 33 71 46
"AT1G01400" 1 0 0 0 1 0
"AT1G01410" 0 0 0 0 0 0
