"GSM1276507" "GSM1276508" "GSM1276509" "GSM1276510" "GSM1276511" "GSM1276512" "GSM1276513" "GSM1276514" "GSM1276515" "GSM1276516"
"AT1G01010" 216 241 381 101 234 177 255 425 148 352
"AT1G01020" 1600 521 908 63 1659 553 1669 794 514 763
"AT1G01030" 379 4 0 13 626 1 580 3 1 1
"AT1G01040" 4057 5659 9925 882 7161 5273 7599 9546 4366 6932
"AT1G01046" 34 27 54 0 63 49 60 35 40 39
"AT1G01050" 4269 7438 11335 389 6796 6010 5950 9483 5991 11017
"AT1G01060" 2247 2229 1481 251 4620 2639 4505 6603 403 8401
"AT1G01070" 28 808 294 47 22 351 6 28 219 104
"AT1G01073" 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 7333 4170 6135 482 8308 2216 7487 4838 1650 3931
"AT1G01090" 157200 126643 183119 7801 206900 107948 166061 146583 101257 193421
"AT1G01100" 117624 41302 34805 3647 87168 26432 101440 48167 19829 36904
"AT1G01110" 2451 24 33 53 3466 4 3290 27 8 6
"AT1G01115" 0 0 0 0 0 1 0 0 0 0
"AT1G01120" 10541 384 478 123 12250 634 9270 1158 348 1414
"AT1G01130" 786 1749 1781 2 1205 2022 859 1650 1759 3357
"AT1G01140" 9115 46509 49776 1312 12824 33913 7985 38985 32944 56796
"AT1G01150" 70 41 55 0 81 25 64 57 47 71
"AT1G01160" 5974 6194 5746 1165 7174 3544 7100 4945 3551 5684
"AT1G01170" 4580 3623 3107 108 3131 884 2562 1502 1093 2528
"AT1G01180" 40 195 99 34 22 68 27 162 31 79
"AT1G01183" 6 0 0 0 21 0 17 0 0 0
"AT1G01190" 4 8 6 0 9 9 12 4 2 13
"AT1G01200" 5 4 5 0 19 1 31 6 0 9
"AT1G01210" 1118 374 372 54 1176 323 1613 370 263 411
"AT1G01220" 1983 864 1366 332 2420 875 2642 1754 656 1260
"AT1G01225" 1632 4314 4000 112 1533 3875 1124 2941 2732 4786
"AT1G01230" 1664 6059 7648 980 1447 3725 1244 6048 3709 6119
"AT1G01240" 907 1771 1415 782 182 763 98 897 572 1234
"AT1G01250" 266 236 70 0 104 152 53 40 110 82
"AT1G01260" 4467 4790 7777 591 6009 6516 5973 7737 5119 8189
"AT1G01270" 1 0 0 0 1 0 0 0 0 0
"AT1G01280" 2 2 6 0 0 2 0 1 2 6
"AT1G01290" 1415 1430 1847 321 1972 1098 2133 2028 853 1482
"AT1G01300" 21258 6069 7186 272 23318 5621 22166 7615 5824 12232
"AT1G01305" 15 0 0 0 13 0 5 0 0 0
"AT1G01310" 92 79 28 11 15 40 33 36 17 71
"AT1G01320" 35112 7145 14720 1784 65079 8702 76941 18011 7262 13971
"AT1G01340" 62 1140 1364 52 81 1955 43 1022 1266 2518
"AT1G01350" 1829 1572 2579 556 3011 2120 3019 3410 1282 2408
"AT1G01355" 4 153 109 8 0 52 1 104 30 75
"AT1G01360" 1077 1011 1302 129 926 515 668 1052 470 1075
"AT1G01370" 2851 1058 1111 85 3878 584 3457 1413 616 1367
"AT1G01380" 77 12 79 16 130 26 126 13 36 21
"AT1G01390" 2 18 8 0 4 4 0 19 2 8
"AT1G01400" 1 0 1 0 1 1 1 1 1 6
"AT1G01410" 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 24 189 231 11 15 191 12 237 84 292
"AT1G01430" 2930 4543 7194 335 3949 4868 2680 6207 4848 8899
"AT1G01440" 1456 942 1421 237 1931 854 1797 1327 659 1303
"AT1G01448" 617 658 969 132 908 706 734 733 648 919
"AT1G01450" 5 2 4 0 5 0 3 0 6 4
"AT1G01453" 0 0 0 19 0 0 0 0 1 0
"AT1G01460" 0 0 2 0 0 10 4 5 4 10
"AT1G01470" 340 5780 3637 485 101 1194 81 2107 852 1912
"AT1G01471" 0 0 0 0 0 0 0 0 0 0
"AT1G01480" 93 23 10 0 16 5 24 18 1 37
"AT1G01490" 3286 1392 613 919 2582 224 2064 438 133 359
"AT1G01500" 924 2404 3268 204 849 2688 671 3497 2492 3981
"AT1G01510" 8736 4980 7239 734 10807 5023 10394 7752 3945 8135
"AT1G01520" 179 64 72 3 119 58 117 43 22 88
"AT1G01530" 4 28 59 0 2 15 6 55 9 20
"AT1G01540" 7010 4184 4865 1513 7384 3658 6347 4899 2878 6034
"AT1G01550" 11960 9926 15472 2355 14989 11271 10718 13895 9717 19306
"AT1G01560" 18 12 4 10 26 5 8 5 6 13
"AT1G01570" 502 198 178 33 312 73 315 131 55 105
"AT1G01580" 14 18 36 37 13 19 8 18 24 22
"AT1G01590" 8 12 7 18 12 12 3 20 8 1
"AT1G01600" 1906 144 165 98 1418 318 1249 273 161 483
"AT1G01610" 1149 1441 2124 2090 841 1847 946 4072 604 2759
"AT1G01620" 66556 48131 48395 918 66134 21628 54608 51906 18930 47526
"AT1G01630" 145 2317 2578 1778 319 1832 378 1953 1159 2361
"AT1G01640" 18 246 203 111 27 190 9 217 160 364
"AT1G01650" 4469 2971 3013 424 2435 2012 2901 3747 1509 3609
"AT1G01660" 54 110 94 89 75 62 50 100 38 54
"AT1G01670" 103 140 166 44 109 87 68 184 68 149
"AT1G01680" 3 12 19 30 0 2 0 20 1 6
"AT1G01690" 1997 1450 2120 288 3878 1205 3097 2452 1146 2287
"AT1G01695" 125 388 499 48 89 119 119 904 141 181
"AT1G01700" 249 2 3 0 320 5 246 5 6 11
"AT1G01710" 3016 3785 4572 879 3797 2845 3336 4307 2083 3906
"AT1G01720" 23562 9813 5567 457 7328 2962 5371 4347 1771 6619
"AT1G01725" 515 1741 1805 105 515 1290 323 1186 958 1522
"AT1G01730" 2321 3838 4451 478 3575 2376 2889 4853 2353 5409
"AT1G01740" 878 239 293 14 1047 157 1132 286 141 342
"AT1G01750" 155 123 128 12 230 99 215 138 82 145
"AT1G01760" 495 246 429 34 894 280 876 360 226 472
"AT1G01770" 2992 4167 4992 108 3399 2403 2976 4358 1868 3195
"AT1G01780" 1199 1811 1132 139 962 587 874 874 417 766
"AT1G01790" 7035 2489 3922 74 11762 2491 8920 6029 1979 4829
"AT1G01800" 3436 1708 1509 127 4002 2067 2934 2511 1827 3818
"AT1G01810" 102 156 180 31 169 168 124 180 146 205
"AT1G01820" 3468 4127 5246 424 4289 2860 3564 3833 2818 4958
"AT1G01830" 3301 4868 6729 312 5669 5496 4136 6396 4728 8543
"AT1G01840" 498 330 243 4 544 152 559 247 108 293
"AT1G01860" 1722 1725 2086 96 2388 1301 2119 1878 1229 2103
"AT1G01870" 1 0 0 0 0 5 0 2 0 0
"AT1G01880" 709 870 1572 75 1451 1234 1208 1474 915 1715
"AT1G01890" 0 0 0 0 0 0 0 1 0 0
"AT1G01900" 5035 124575 169713 4085 5808 119882 5192 124885 103877 199888
"AT1G01910" 7395 7199 9117 594 9554 5715 10011 9888 4902 9640
"AT1G01920" 3164 1235 1491 250 3776 1275 3913 1869 1136 1716
"AT1G01930" 2258 2417 3015 567 2920 1650 2856 3466 1423 2757
"AT1G01940" 2122 1897 1970 517 3409 1292 3596 1935 1176 2311
"AT1G01950" 5707 4442 6601 714 8986 3895 7792 7957 3527 6356
"AT1G01960" 14815 10549 22828 1380 24470 13924 24107 24217 12796 23752
"AT1G01970" 4344 1922 3028 235 4184 1785 3595 3196 1546 3283
"AT1G01980" 9 44 99 33 2 25 35 23 27 149
"AT1G01990" 2325 2489 3399 272 3046 1742 3232 1909 1667 2916
"AT1G02000" 731 1022 1056 546 1036 676 1002 1271 371 912
"AT1G02010" 862 488 737 93 1016 455 1071 562 375 562
"AT1G02020" 1963 2452 3110 362 3110 1797 2603 3223 1773 3817
"AT1G02030" 95 87 63 0 87 26 82 69 30 67
"AT1G02040" 28 6 5 20 27 6 35 1 11 15
"AT1G02050" 1152 394 357 25 1151 465 1205 492 385 673
"AT1G02060" 1863 447 852 36 2415 530 2624 952 368 665
"AT1G02065" 168 1 2 0 17 12 37 2 0 2
"AT1G02070" 7 15 1 1 14 28 13 6 24 9
"AT1G02074" 0 0 0 0 0 3 0 0 1 2
"AT1G02080" 15596 17871 40228 2267 34090 21286 31944 42661 18554 34693
"AT1G02090" 7916 7192 6596 1302 10436 4085 11149 8499 3602 7489
"AT1G02100" 3537 3975 4543 457 4528 2513 4524 4162 2137 3762
"AT1G02110" 12448 9603 12500 434 16268 7700 16279 12695 7145 13996
"AT1G02120" 3348 5585 7163 1432 4960 5890 4085 8621 4839 8142
"AT1G02130" 3973 2854 4125 795 5531 2497 5114 2951 2250 4564
"AT1G02136" 6 1 0 0 0 0 2 0 0 3
"AT1G02140" 17487 13849 17664 2080 21652 12041 21813 18587 10100 18840
"AT1G02145" 2574 3092 4621 317 3278 2564 3096 4723 2362 4467
"AT1G02150" 22236 8498 10660 777 29176 6359 28344 11600 6182 12507
"AT1G02160" 2657 3692 3366 366 2777 2608 2368 2955 1643 3031
"AT1G02170" 4318 5894 6277 417 4066 3678 3659 5044 3257 6223
"AT1G02180" 1949 1387 1674 66 2538 772 2338 1543 667 1670
"AT1G02190" 30 14 6 28 5 1 3 26 0 12
"AT1G02205" 21 68 61 64 18 98 9 86 38 79
"AT1G02210" 0 0 0 0 0 0 0 0 0 0
"AT1G02220" 29 682 657 24 28 209 32 521 20 32
"AT1G02228" 0 0 0 0 1 0 0 0 1 1
"AT1G02230" 28 7 1 0 17 2 20 6 3 12
"AT1G02250" 26 14 18 7 12 11 13 30 8 3
"AT1G02260" 1566 1335 1326 175 1601 1200 1221 1517 818 1645
"AT1G02270" 2654 2708 4669 579 3053 2468 2646 3612 2151 4023
"AT1G02280" 16313 8385 10878 803 19009 6690 19761 14270 5794 12179
"AT1G02290" 1743 592 1186 64 3074 992 2510 984 1120 1808
"AT1G02300" 868 1480 1452 107 679 1471 544 995 753 410
"AT1G02305" 10627 14886 16439 2238 7741 8629 6521 10537 7403 17396
"AT1G02310" 244 2771 3477 93 198 3057 185 2615 1847 3420
"AT1G02320" 3 0 1 16 6 0 3 5 1 1
"AT1G02330" 3417 2571 3319 961 4360 2243 4161 3279 2318 4612
"AT1G02335" 46 17 17 0 6 14 14 5 1 28
"AT1G02340" 1042 8 2 11 186 12 199 10 4 26
"AT1G02350" 217 192 192 0 269 126 241 230 109 184
"AT1G02360" 10 0 0 0 6 0 11 1 0 2
"AT1G02370" 2239 386 703 86 3373 1143 4049 945 863 1165
"AT1G02380" 303 518 631 120 549 148 482 613 132 401
"AT1G02390" 6581 821 1155 100 14486 1389 10089 843 695 1525
"AT1G02391" 0 0 1 0 0 1 0 0 0 0
"AT1G02400" 63 54 51 19 18 164 9 25 178 363
"AT1G02405" 22 677 248 39 1 203 9 229 252 700
"AT1G02410" 3231 2697 4027 258 3628 2360 3328 3174 1644 3516
"AT1G02420" 627 218 439 61 920 310 1023 615 298 537
"AT1G02430" 185 96 117 78 211 123 227 166 95 143
"AT1G02440" 35 7 11 15 13 12 24 32 8 14
"AT1G02450" 106 69 40 16 94 23 74 50 25 33
"AT1G02460" 4 0 0 21 4 2 3 0 1 8
"AT1G02470" 90 52 42 0 36 40 45 36 18 40
"AT1G02475" 902 1034 1815 261 911 723 836 1189 622 1311
"AT1G02480" 0 0 0 0 0 1 0 0 0 0
"AT1G02490" 22 6 1 0 11 1 4 4 0 5
"AT1G02500" 24625 25112 29563 4479 31065 13624 28241 23648 12165 25237
"AT1G02510" 2 0 2 0 8 0 9 0 2 1
"AT1G02520" 116 212 315 134 82 410 83 459 221 358
"AT1G02530" 104 341 850 495 198 1036 177 1201 212 763
"AT1G02540" 26 62 47 0 15 10 20 46 2 1
