"GSM1281703" "GSM1281704" "GSM1281705" "GSM1281706"
"AT1G01010" 108 95 225 138
"AT1G01020" 208 156 258 182
"AT1G01030" 30 41 52 35
"AT1G01040" 670 618 952 654
"AT1G01046" 9 10 14 7
"AT1G01050" 826 675 1264 922
"AT1G01060" 2648 2509 4134 3099
"AT1G01070" 119 119 135 89
"AT1G01073" 0 0 0 0
"AT1G01080" 1228 959 1483 1135
"AT1G01090" 2778 2386 3772 2908
"AT1G01100" 2000 1739 2678 2201
"AT1G01110" 46 50 153 132
"AT1G01115" 0 0 0 0
"AT1G01120" 2690 2312 4450 3427
"AT1G01130" 33 26 28 33
"AT1G01140" 731 639 1727 1268
"AT1G01150" 3 1 0 0
"AT1G01160" 377 336 587 411
"AT1G01170" 420 289 422 337
"AT1G01180" 253 209 358 288
"AT1G01183" 0 1 0 0
"AT1G01190" 69 66 107 71
"AT1G01200" 42 51 53 37
"AT1G01210" 96 79 108 90
"AT1G01220" 284 272 411 321
"AT1G01225" 76 61 86 67
"AT1G01230" 338 304 498 386
"AT1G01240" 381 255 487 361
"AT1G01250" 11 8 24 14
"AT1G01260" 264 248 340 240
"AT1G01270" 0 0 0 0
"AT1G01280" 0 0 0 0
"AT1G01290" 124 137 194 173
"AT1G01300" 962 887 1157 916
"AT1G01305" 0 0 0 0
"AT1G01310" 3 12 2 1
"AT1G01320" 4614 3632 5494 4185
"AT1G01340" 105 127 69 45
"AT1G01350" 159 154 261 186
"AT1G01355" 4 3 0 0
"AT1G01360" 211 189 299 221
"AT1G01370" 52 37 62 44
"AT1G01380" 49 70 68 42
"AT1G01390" 63 74 77 45
"AT1G01400" 1 0 0 0
"AT1G01410" 0 0 0 0
"AT1G01420" 103 126 174 149
"AT1G01430" 1438 902 2136 1601
"AT1G01440" 276 235 371 293
"AT1G01448" 86 87 164 118
"AT1G01450" 1 1 0 2
"AT1G01453" 22 14 29 27
"AT1G01460" 0 0 0 3
"AT1G01470" 541 457 1318 1028
"AT1G01471" 0 0 0 0
"AT1G01480" 141 26 35 35
"AT1G01490" 820 666 1256 1016
"AT1G01500" 87 104 144 112
"AT1G01510" 421 359 620 516
"AT1G01520" 64 86 100 78
"AT1G01530" 0 1 0 0
"AT1G01540" 1334 1056 2121 1598
"AT1G01550" 2008 2104 3173 2332
"AT1G01560" 20 12 5 0
"AT1G01570" 43 44 43 27
"AT1G01580" 182 157 86 90
"AT1G01590" 3 4 0 2
"AT1G01600" 63 43 73 49
"AT1G01610" 1309 1070 1606 1272
"AT1G01620" 11224 8560 20306 15700
"AT1G01630" 883 686 1156 899
"AT1G01640" 79 59 115 78
"AT1G01650" 277 297 363 277
"AT1G01660" 25 21 31 24
"AT1G01670" 7 8 12 8
"AT1G01680" 2 0 0 0
"AT1G01690" 57 63 90 63
"AT1G01695" 0 3 11 4
"AT1G01700" 16 17 26 11
"AT1G01710" 380 281 536 401
"AT1G01720" 560 499 884 678
"AT1G01725" 61 72 59 54
"AT1G01730" 176 202 297 229
"AT1G01740" 88 62 118 87
"AT1G01750" 241 193 322 247
"AT1G01760" 51 48 73 63
"AT1G01770" 222 174 320 270
"AT1G01780" 298 249 427 314
"AT1G01790" 3394 2738 5234 3927
"AT1G01800" 623 563 1111 899
"AT1G01810" 4 2 2 1
"AT1G01820" 663 560 803 601
"AT1G01830" 227 183 521 412
"AT1G01840" 12 7 22 19
"AT1G01860" 126 101 179 134
"AT1G01870" 0 0 0 0
"AT1G01880" 26 27 42 29
"AT1G01890" 0 0 0 0
"AT1G01900" 128 150 288 212
"AT1G01910" 600 491 790 614
"AT1G01920" 193 183 221 165
"AT1G01930" 179 136 258 217
"AT1G01940" 139 119 229 181
"AT1G01950" 366 353 570 435
"AT1G01960" 1273 1092 1781 1287
"AT1G01970" 353 295 425 283
"AT1G01980" 2 1 3 0
"AT1G01990" 222 210 321 239
"AT1G02000" 233 180 401 317
"AT1G02010" 164 182 248 184
"AT1G02020" 200 163 301 212
"AT1G02030" 13 10 14 7
"AT1G02040" 3 2 2 2
"AT1G02050" 79 71 85 77
"AT1G02060" 59 51 81 59
"AT1G02065" 3 11 11 5
"AT1G02070" 0 0 0 2
"AT1G02074" 0 2 0 1
"AT1G02080" 1576 1366 2446 1889
"AT1G02090" 559 411 722 652
"AT1G02100" 503 398 691 573
"AT1G02110" 354 329 479 348
"AT1G02120" 1154 1028 1503 1113
"AT1G02130" 520 464 840 627
"AT1G02136" 0 0 0 0
"AT1G02140" 1260 1049 1791 1356
"AT1G02145" 259 259 352 296
"AT1G02150" 1099 814 1352 1041
"AT1G02160" 186 135 233 188
"AT1G02170" 400 315 522 382
"AT1G02180" 53 50 84 60
"AT1G02190" 2 2 15 12
"AT1G02205" 304 251 799 593
"AT1G02210" 0 0 0 0
"AT1G02220" 94 77 91 69
"AT1G02228" 0 0 0 0
"AT1G02230" 7 7 30 20
"AT1G02250" 1 0 0 0
"AT1G02260" 290 229 351 271
"AT1G02270" 198 173 263 201
"AT1G02280" 843 667 814 638
"AT1G02290" 130 103 197 132
"AT1G02300" 244 169 239 185
"AT1G02305" 1091 959 1540 1259
"AT1G02310" 31 17 27 27
"AT1G02320" 0 1 0 0
"AT1G02330" 275 233 348 267
"AT1G02335" 457 334 607 458
"AT1G02340" 94 78 207 160
"AT1G02350" 13 10 19 16
"AT1G02360" 382 365 590 436
"AT1G02370" 57 56 60 61
"AT1G02380" 29 28 77 54
"AT1G02390" 10 24 37 33
"AT1G02391" 0 0 0 0
"AT1G02400" 162 192 99 88
"AT1G02405" 2 0 1 0
"AT1G02410" 248 170 273 195
"AT1G02420" 27 37 50 34
"AT1G02430" 11 25 20 14
"AT1G02440" 0 2 0 0
"AT1G02450" 3 0 4 3
"AT1G02460" 22 18 23 10
"AT1G02470" 8 11 8 7
"AT1G02475" 567 463 871 637
"AT1G02480" 0 0 0 0
"AT1G02490" 2 0 1 0
"AT1G02500" 6213 5468 8046 6267
"AT1G02510" 0 0 0 0
"AT1G02520" 380 110 116 100
"AT1G02530" 7 3 8 5
"AT1G02540" 0 0 1 0
"AT1G02550" 0 0 0 0
"AT1G02560" 2585 2000 3359 2622
"AT1G02570" 30 17 35 17
"AT1G02575" 11 4 4 4
"AT1G02580" 7 3 2 3
"AT1G02590" 0 0 0 0
"AT1G02600" 0 0 0 0
"AT1G02610" 60 33 100 74
"AT1G02620" 6 3 3 2
"AT1G02630" 0 2 0 1
"AT1G02640" 549 429 534 440
"AT1G02650" 16 8 16 16
"AT1G02660" 388 216 629 495
"AT1G02670" 23 20 32 30
"AT1G02680" 91 101 161 126
"AT1G02681" 1 0 0 0
"AT1G02690" 242 181 308 264
"AT1G02700" 36 27 59 26
"AT1G02710" 53 38 80 63
"AT1G02720" 165 163 205 169
"AT1G02730" 632 509 771 650
"AT1G02740" 111 88 131 101
"AT1G02750" 133 130 160 118
"AT1G02760" 0 0 0 0
"AT1G02770" 29 19 30 17
"AT1G02780" 5960 5149 7932 6547
"AT1G02790" 0 0 0 0
"AT1G02800" 16 15 22 19
"AT1G02810" 244 319 422 337
"AT1G02813" 1 1 1 0
"AT1G02816" 325 217 465 370
"AT1G02820" 35 57 72 48
"AT1G02830" 0 0 0 0
"AT1G02840" 1585 1430 1924 1462
"AT1G02850" 187 143 181 162
"AT1G02860" 243 197 226 176
"AT1G02870" 122 140 152 140
"AT1G02880" 217 231 253 217
"AT1G02890" 1440 1262 2236 1650
"AT1G02900" 497 477 490 372
"AT1G02910" 858 628 1167 885
"AT1G02920" 1005 1001 84 65
"AT1G02930" 848 630 104 56
"AT1G02940" 7 1 6 9
"AT1G02950" 132 114 184 166
"AT1G02952" 1 1 0 1
"AT1G02960" 256 206 319 240
"AT1G02965" 0 0 0 0
"AT1G02970" 30 36 49 32
"AT1G02980" 15 12 24 16
"AT1G02990" 298 252 380 311
"AT1G03000" 363 276 480 340
"AT1G03010" 17 21 26 16
"AT1G03020" 7 1 2 3
"AT1G03022" 0 0 0 0
"AT1G03030" 234 182 266 185
"AT1G03040" 556 404 633 512
"AT1G03050" 0 0 1 0
"AT1G03055" 107 75 143 102
"AT1G03060" 868 760 1155 869
"AT1G03070" 64 33 102 82
"AT1G03080" 1286 994 1753 1389
"AT1G03090" 608 541 860 639
"AT1G03100" 34 33 37 24
"AT1G03103" 0 0 0 0
"AT1G03106" 21 43 20 17
"AT1G03110" 181 128 204 159
"AT1G03120" 5 5 10 12
"AT1G03130" 8705 6073 18635 14287
"AT1G03140" 523 456 794 554
"AT1G03150" 171 141 289 202
"AT1G03160" 590 490 815 588
"AT1G03170" 5 8 9 7
"AT1G03180" 38 34 54 49
"AT1G03190" 168 158 230 164
"AT1G03200" 3 9 3 7
"AT1G03210" 305 245 296 209
"AT1G03220" 3734 3606 3161 2311
"AT1G03230" 382 359 451 338
"AT1G03240" 2 1 6 2
"AT1G03250" 276 210 374 281
"AT1G03260" 132 126 191 148
"AT1G03270" 27 21 48 23
"AT1G03280" 564 481 794 599
"AT1G03290" 313 263 444 312
"AT1G03300" 104 74 136 105
"AT1G03310" 486 355 577 435
"AT1G03320" 5 1 5 4
"AT1G03330" 270 248 399 336
"AT1G03340" 46 18 48 26
"AT1G03350" 566 554 859 654
"AT1G03360" 126 94 114 98
"AT1G03365" 314 263 430 314
"AT1G03370" 491 446 606 434
"AT1G03380" 592 555 1021 722
