      C1  C2  C3 col1 col2 WT.1 WT.2 WT.3 WTrep1 WTrep2 WTrep3
17106 138 181 128  213  108  123  166  141     71    114    130
13941   2   2   0    1    0    0    0    0      4      0      3
19895  38  44  46   35   14   40   29   37     20     36     41
18993   8   3   0    0    0    0    0    0      0      0      0
27764   1   3   2    2    0    5    3    1      0      1      3
16062   0   0   0    3    2    4    1    0      0      2      1
10457   6   9   0    0    0    0    0    0      0      0      0
23244   3   6   0    0    0    0    0    0      2      0      0
3499    5  15  12    7    0    1    2   12      1      2      5
9609    0   5   1    2    2    0    0    0      2      0      2
24827   1   1   2    1    0    0    1    2      1      1      3
27862   0   0   0    4    0    0    1    0      0      5      3
7502  401 535 397  368  250  353  675  724    219    500    587
16061   0   0   2    0    2    0    0    0      1      6      1
