Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1039930,2014-07-08 16:09:04,2014-07-08 16:09:04,46449680,2322484000,0,50,1559,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039930/SRR1039930.sra,SRX384733,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508932,SAMN02423292,simple,3702,Arabidopsis thaliana,GSM1276517,,,,,,,no,,,,,GEO,SRA114433,,public,62CCDAEE72541DB9BDFC30A01DD231FB,ED452F55D3C55E8D8359E316F6AC3AA7
SRR1039931,2014-07-08 16:09:04,2014-07-08 16:09:04,25931437,1037257480,0,40,608,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039931/SRR1039931.sra,SRX384734,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508933,SAMN02423297,simple,3702,Arabidopsis thaliana,GSM1276518,,,,,,,no,,,,,GEO,SRA114433,,public,AD7A2FD7DC0056DA51742E08210A3418,54CBD913ECE229262F05DAB3CBDC4E51
SRR1039932,2014-07-08 16:09:04,2014-07-08 16:09:04,36825141,1473005640,0,40,866,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039932/SRR1039932.sra,SRX384735,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508934,SAMN02423293,simple,3702,Arabidopsis thaliana,GSM1276519,,,,,,,no,,,,,GEO,SRA114433,,public,FB668EC3DA192842C177986D0EEBCD7C,77AB4B0D078AFDCA9C34492A39D20166
SRR1039933,2014-07-08 16:09:04,2014-07-08 16:09:04,28921572,1156862880,0,40,679,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039933/SRR1039933.sra,SRX384736,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508935,SAMN02423294,simple,3702,Arabidopsis thaliana,GSM1276520,,,,,,,no,,,,,GEO,SRA114433,,public,BF71A75305A5B58B574C359137CC8AD8,047396562679FA62A4546070475BABCA
SRR1039934,2014-07-08 16:09:04,2014-07-08 16:09:04,41698896,1667955840,0,40,961,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039934/SRR1039934.sra,SRX384737,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508936,SAMN02423296,simple,3702,Arabidopsis thaliana,GSM1276521,,,,,,,no,,,,,GEO,SRA114433,,public,907AD9DA4FAEAB9CF80A5D4554606F7B,08BDD94F374AC8AC78A4F403EED03D16
SRR1039935,2014-07-08 16:09:04,2014-07-08 16:09:04,39720686,1986034300,0,50,1343,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039935/SRR1039935.sra,SRX384738,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508937,SAMN02423295,simple,3702,Arabidopsis thaliana,GSM1276522,,,,,,,no,,,,,GEO,SRA114433,,public,CF0D98B419EB023748D58C70FC24E818,F2F9F83656A944DBD0B3B515F892A65D
SRR1039936,2014-07-08 16:09:04,2014-07-08 16:09:04,45708066,2285403300,0,50,1532,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039936/SRR1039936.sra,SRX384739,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508938,SAMN02423300,simple,3702,Arabidopsis thaliana,GSM1276523,,,,,,,no,,,,,GEO,SRA114433,,public,73C93693BC529966F3D82C0ECC89EAC8,15E6418FCDCEBE81FEA836E53C4E98AE
SRR1039937,2014-07-08 16:09:04,2014-07-08 16:09:04,40440901,2022045050,0,50,1370,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039937/SRR1039937.sra,SRX384740,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508939,SAMN02423303,simple,3702,Arabidopsis thaliana,GSM1276524,,,,,,,no,,,,,GEO,SRA114433,,public,5883643129107E55C35D0570849163E3,19820016A6D5458B3CB62B488C24DBBB
SRR1039938,2014-07-08 16:09:04,2014-07-08 16:09:04,33472716,1338908640,0,40,840,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039938/SRR1039938.sra,SRX384741,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508940,SAMN02423299,simple,3702,Arabidopsis thaliana,GSM1276525,,,,,,,no,,,,,GEO,SRA114433,,public,2700EF7621105B8479B66C28A8831E0A,B5ECC3757C4ED31D514A4992A016E18E
SRR1039939,2014-07-08 16:09:04,2014-07-08 16:09:04,48826518,1953060720,0,40,1229,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR103/SRR1039939/SRR1039939.sra,SRX384742,,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033372,,0,0,SRS508941,SAMN02423302,simple,3702,Arabidopsis thaliana,GSM1276526,,,,,,,no,,,,,GEO,SRA114433,,public,45391A408876E7177B5D55B7FE0C7F0A,0F39392EB0997A1F788C8B2289BD5AAA
