"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX389831","GSM1287200: Zu-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513565","","328.51","1","7186538","560549964","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389831","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389830","GSM1287199: Zu-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513564","","342.06","1","7424499","579110922","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389830","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389829","GSM1287198: Wu-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513563","","354.27","1","7615895","594039810","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389829","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389828","GSM1287197: Wu-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513562","","284.14","1","6144674","479284572","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389828","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389827","GSM1287196: Ws-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513561","","346.67","1","7360356","574107768","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389827","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389826","GSM1287195: Ws-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513560","","383.05","1","8124985","633748830","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389826","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389825","GSM1287194: Wil-2 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513559","","332.85","1","7303396","569664888","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389825","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389824","GSM1287193: Wil-2 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513558","","463.48","1","9881849","770784222","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389824","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389823","GSM1287192: Tsu-0 root, biological replicate 2; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513557","","360.4","1","7890793","615481854","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389823","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX389822","GSM1287191: Tsu-0 root, biological replicate 1; Arabidopsis thaliana; RNA-Seq","Arabidopsis thaliana","Illumina Genome Analyzer IIx","GEO","SRP033661","GSE53198: Root transcriptomes for the 19 parents of the Arabidopsis thaliana MAGIC lines","SRS513556","","318.23","1","6748856","526410768","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX389/SRX389822","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
