Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR1001901,2014-03-05 16:49:05,2014-03-05 16:49:05,14964452,748222600,0,50,440,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001901/SRR1001901.sra,SRX359415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487049,SAMN02363357,3702,Arabidopsis thaliana,GSM1239079,,,,,,,no,,,,,GEO,SRA103956,,public,9F2F2A9133DCBEFF14FD71A1380FA9C0,0F090D005EEEFE7B1A30609E4567D1B4
SRR1001902,2014-03-05 16:49:05,2014-03-05 16:49:05,11060474,553023700,0,50,325,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001902/SRR1001902.sra,SRX359416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487048,SAMN02363364,3702,Arabidopsis thaliana,GSM1239080,,,,,,,no,,,,,GEO,SRA103956,,public,807F4C58683E76B2B9DC80A78BE9913B,F0E3A21B27906C05EE0C85E25523BB01
SRR1001903,2014-03-05 16:49:05,2014-03-05 16:49:05,13653860,682693000,0,50,404,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001903/SRR1001903.sra,SRX359417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487050,SAMN02363367,3702,Arabidopsis thaliana,GSM1239081,,,,,,,no,,,,,GEO,SRA103956,,public,08FBD621C3F2DE46C9661E0E4988DEAD,E73371D4525ED62F655932BA12314DF2
SRR1001904,2014-03-05 16:49:05,2014-03-05 16:49:05,16131885,806594250,0,50,469,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001904/SRR1001904.sra,SRX359418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487052,SAMN02363359,3702,Arabidopsis thaliana,GSM1239082,,,,,,,no,,,,,GEO,SRA103956,,public,AE154EF698D29BA3B72367E4EF2900E7,709A017B8F77DBCC491A49A954A650C1
SRR1001905,2014-03-05 16:49:05,2014-03-05 16:49:05,22545406,1127270300,0,50,659,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001905/SRR1001905.sra,SRX359419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487051,SAMN02363362,3702,Arabidopsis thaliana,GSM1239083,,,,,,,no,,,,,GEO,SRA103956,,public,A562766130736FAE6BE52D74F49BC4C9,0FF13B57111D9F2EC2FC6174A2A438BC
SRR1001906,2014-03-05 16:49:05,2014-03-05 16:49:05,16169111,808455550,0,50,472,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001906/SRR1001906.sra,SRX359420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487053,SAMN02363358,3702,Arabidopsis thaliana,GSM1239084,,,,,,,no,,,,,GEO,SRA103956,,public,E6BDC974E5A8E7DC1EE2EB98232098CF,18760264D541F25A2BE4B6A3F8279A9F
SRR1001907,2014-03-05 16:49:05,2014-03-05 16:49:05,13767983,688399150,0,50,404,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001907/SRR1001907.sra,SRX359421,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487054,SAMN02363366,3702,Arabidopsis thaliana,GSM1239085,,,,,,,no,,,,,GEO,SRA103956,,public,B80B2CE9CACB144648B7BBC6B623BC1F,8DE565AED0AF3A628F64454A452C9E11
SRR1001908,2014-03-05 16:49:05,2014-03-05 16:49:05,13463833,673191650,0,50,393,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001908/SRR1001908.sra,SRX359422,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487055,SAMN02363361,3702,Arabidopsis thaliana,GSM1239086,,,,,,,no,,,,,GEO,SRA103956,,public,84C64C69D326D45D27D704F15DC1DA92,EF6B9C5DA618AF38C5586B5D4A455779
SRR1001909,2014-03-05 16:49:05,2014-03-05 16:49:05,8489456,424472800,0,50,249,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001909/SRR1001909.sra,SRX359423,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487056,SAMN02363360,3702,Arabidopsis thaliana,GSM1239087,,,,,,,no,,,,,GEO,SRA103956,,public,2D7013B685C7AEFC954332FCD431B0EB,1F2D79B29C46F73168CA1976BF646D1F
SRR1001910,2014-03-05 16:49:05,2014-03-05 16:49:05,14228271,711413550,0,50,417,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR100/SRR1001910/SRR1001910.sra,SRX359424,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP030399,GSE51119,0,0,SRS487057,SAMN02363365,3702,Arabidopsis thaliana,GSM1239088,,,,,,,no,,,,,GEO,SRA103956,,public,B285BE962B8CE339974EE5777632B04E,FD50B68CD40A510C9D1FC1DCAC9075C4
