"Gene","Rank"
"AT3G28670",1
"AT2G01220",2
"AT3G21160",3
"AT2G21150",4
"AT1G47230",5
"AT5G19680",6
"AT1G25490",7
"AT1G54650",8
"AT1G66750",9
"AT5G50020",10
"AT5G12260",11
"AT4G13730",12
"AT3G02950",13
"AT1G08750",14
"AT5G19830",15
"AT1G54610",16
"AT2G44798",17
"AT2G15270",18
"AT1G50370",19
"AT3G53110",20
"AT3G03090",21
"AT2G26590",22
"AT5G08080",23
"AT1G55620",24
"AT4G17040",25
"AT3G06910",26
"AT2G19080",27
"AT5G49060",28
"AT4G38500",29
"AT4G26965",30
"AT1G78810",31
"AT1G80000",32
"AT1G75560",33
"AT5G05010",34
"AT5G41950",35
"AT1G22940",36
"AT5G18390",37
"AT5G18420",38
"AT5G11380",39
"AT1G71440",40
"AT1G09020",41
"AT5G08391",42
"AT3G08550",43
"AT1G54080",44
"AT5G36210",45
"AT1G51450",46
"AT2G41350",47
"AT5G14480",48
"AT2G35530",49
"AT5G41980",50
"AT5G18900",51
"AT4G26640",52
"AT5G19130",53
"AT3G03570",54
"AT2G19160",55
"AT3G07330",56
"AT5G64470",57
"AT5G06580",58
"AT1G21280",59
"AT1G16690",60
"AT3G20920",61
"AT1G29550",62
"AT1G13060",63
"AT5G60570",64
"AT2G40980",65
"AT5G44150",66
"AT5G48520",67
"AT1G52630",68
"AT1G62930",69
"AT3G59800",70
"AT5G16890",71
"AT1G34470",72
"AT1G19170",73
"AT1G11930",74
"AT5G35730",75
"AT2G30880",76
"AT4G30900",77
"AT1G55150",78
"AT5G41870",79
"AT5G67610",80
"AT4G23330",81
"AT3G15430",82
"AT5G63440",83
"AT2G17420",84
"AT3G15660",85
"AT1G65650",86
"AT1G74800",87
"AT2G20810",88
"AT3G06820",89
"AT2G30910",90
"AT5G07120",91
"AT5G18950",92
"AT1G04850",93
"AT5G30490",94
"AT4G33060",95
"AT4G22150",96
"AT1G28320",97
"AT4G32120",98
"AT3G07140",99
"AT5G46020",100
"AT1G48175",101
"AT5G40580",102
"AT5G41860",103
"AT4G16580",104
"AT1G65020",105
"AT3G63150",106
"AT5G25510",107
"AT4G09670",108
"AT1G22200",109
"AT4G37270",110
"AT5G63110",111
"AT1G13320",112
"AT3G08990",113
"AT5G17070",114
