"Gene","Rank"
"AT3G03940",1
"AT3G18480",2
"AT1G71270",3
"AT3G01610",4
"AT5G49580",5
"AT1G80950",6
"AT3G20650",7
"AT1G25380",8
"AT5G20920",9
"AT2G20000",10
"AT1G65430",11
"AT4G29490",12
"AT1G53770",13
"AT5G25150",14
"AT2G28390",15
"AT5G18420",16
"AT2G39630",17
"AT1G61150",18
"AT1G54460",19
"AT4G04720",20
"AT4G24490",21
"AT5G53000",22
"AT4G13730",23
"AT2G45810",24
"AT5G08440",25
"AT1G12270",26
"AT4G09340",27
"AT5G17770",28
"AT5G15080",29
"AT2G30120",30
"AT5G14250",31
"AT2G17410",32
"AT5G67290",33
"AT2G45690",34
"AT1G52730",35
"AT4G08350",36
"AT4G28470",37
"AT1G80910",38
"AT3G60800",39
"AT2G43260",40
"AT1G60490",41
"AT2G44710",42
"AT1G57700",43
"AT1G03190",44
"AT1G50500",45
"AT5G46750",46
"AT2G43770",47
"AT2G26990",48
"AT5G21040",49
"AT4G24470",50
"AT5G11030",51
"AT5G61970",52
"AT3G51980",53
"AT3G02950",54
"AT5G01290",55
"AT5G58003",56
"AT5G19680",57
"AT5G58230",58
"AT5G16890",59
"AT5G04920",60
"AT2G44530",61
"AT1G21700",62
"AT3G22520",63
"AT5G58270",64
"AT4G11790",65
"AT5G10630",66
"AT1G55170",67
"AT4G16360",68
"AT1G78800",69
"AT5G58100",70
"AT5G53530",71
"AT3G28670",72
"AT4G17640",73
"AT1G27690",74
"AT3G20720",75
"AT4G39240",76
"AT5G12290",77
"AT1G25350",78
"AT2G23080",79
"AT5G20170",80
"AT1G49710",81
"AT1G67680",82
"AT4G33945",83
"AT4G30480",84
"AT2G46700",85
"AT1G30300",86
"AT3G05530",87
"AT1G16010",88
"AT4G24530",89
"AT3G14075",90
"AT5G07980",91
"AT1G35470",92
"AT5G41770",93
"AT5G38830",94
"AT3G01090",95
"AT2G19080",96
"AT4G39370",97
"AT1G51570",98
"AT1G45233",99
"AT2G32910",100
"AT4G11440",101
"AT1G75230",102
"AT3G46220",103
"AT5G06600",104
"AT5G40200",105
"AT5G13030",106
"AT5G53180",107
"AT3G16110",108
"AT5G13560",109
"AT1G52310",110
"AT5G38840",111
"AT4G14710",112
"AT2G27350",113
"AT3G03740",114
"AT5G19010",115
"AT1G11660",116
"AT3G03560",117
"AT2G20790",118
"AT5G60160",119
"AT3G02320",120
"AT2G40090",121
"AT1G64520",122
"AT4G00420",123
"AT3G46180",124
"AT4G19040",125
"AT1G52380",126
"AT1G10180",127
"AT5G36230",128
"AT5G03330",129
"AT3G43240",130
"AT3G06580",131
"AT1G75420",132
"AT1G31870",133
"AT2G32850",134
"AT2G06000",135
"AT1G06210",136
"AT5G47520",137
"AT5G45620",138
