"GSM958257" "GSM958258" "GSM958259" "GSM958260" "GSM958261" "GSM958262" "GSM958263" "GSM958264" "GSM958265" "GSM958266" "GSM958267" "GSM958268"
"AT1G01010" 112 147 131 115 103 61 129 84 91 90 93 74
"AT1G01020" 201 174 98 126 135 86 191 91 71 112 168 72
"AT1G01030" 50 104 81 67 70 88 70 68 73 45 93 27
"AT1G01040" 147 116 111 74 110 102 103 61 77 85 95 60
"AT1G01046" 0 0 1 0 0 0 2 0 0 0 0 0
"AT1G01050" 2200 2362 1935 2484 2520 2062 3043 1537 1742 1786 2420 1377
"AT1G01060" 534 958 683 503 913 552 541 560 502 345 851 296
"AT1G01070" 100 176 150 131 158 126 134 124 93 66 148 93
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 1558 2450 1662 1624 2656 1834 2605 1989 1905 1762 3723 1857
"AT1G01090" 5106 5331 4577 5581 5238 4796 7746 3445 4312 4759 5603 3853
"AT1G01100" 58204 85504 93507 86453 118206 117217 107668 83150 102304 84913 157476 120803
"AT1G01110" 128 161 140 106 157 110 164 108 96 115 189 76
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 7474 6074 7422 9252 6126 6630 7521 2788 3708 2670 2745 1847
"AT1G01130" 89 214 735 124 205 1142 184 150 678 115 274 793
"AT1G01140" 499 688 708 586 672 798 607 348 538 450 701 591
"AT1G01150" 0 0 1 0 1 2 6 0 0 0 0 3
"AT1G01160" 1221 795 1176 1100 1043 1310 1238 539 864 759 782 857
"AT1G01170" 1529 1368 2450 1726 1567 2643 2120 1055 2171 1283 1593 2191
"AT1G01180" 157 250 194 259 250 193 269 153 156 141 279 104
"AT1G01183" 0 0 0 0 0 0 0 0 0 1 1 0
"AT1G01190" 0 0 2 0 0 1 0 0 1 0 0 0
"AT1G01200" 171 199 186 123 151 132 133 130 93 54 104 65
"AT1G01210" 137 184 188 143 220 210 234 159 206 175 421 209
"AT1G01220" 338 251 250 253 266 198 306 157 185 207 242 152
"AT1G01225" 17 18 20 29 23 39 63 24 18 33 33 38
"AT1G01230" 5370 7066 5239 4491 7471 4878 4894 3784 3422 2279 5152 2498
"AT1G01240" 2324 2059 1770 2208 2187 2203 2305 1040 1328 1045 1322 842
"AT1G01250" 11 16 14 41 19 16 13 11 10 23 15 18
"AT1G01260" 342 393 335 430 402 337 380 150 176 196 205 141
"AT1G01270" 0 1 0 0 0 0 0 0 0 0 0 0
"AT1G01280" 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01290" 256 269 293 296 308 271 383 220 218 214 363 248
"AT1G01300" 6017 9596 8216 6820 10165 8086 8458 7968 7560 5356 11423 6044
"AT1G01305" 1 0 0 0 0 0 0 0 0 0 0 0
"AT1G01310" 4 4 4 12 4 5 8 7 9 2 3 13
