"GSM989339" "GSM989340" "GSM989341" "GSM989342" "GSM989343" "GSM989344" "GSM989345" "GSM989346"
"AT1G01010" 107 33 53 65 15 4 13 15
"AT1G01020" 39 19 48 21 34 6 13 10
"AT1G01030" 208 101 254 346 17 5 17 3
"AT1G01040" 3074 1003 1648 1540 452 82 339 266
"AT1G01046" 0 4 0 11 4 0 0 0
"AT1G01050" 1090 412 991 1310 154 49 114 80
"AT1G01060" 2813 669 447 529 61 33 166 94
"AT1G01070" 32 3 0 0 8 2 9 2
"AT1G01073" 0 0 0 0 0 0 0 0
"AT1G01080" 553 173 287 438 88 23 66 41
"AT1G01090" 12183 3856 9341 9684 768 254 558 501
"AT1G01100" 1411 400 1174 1534 1037 356 773 804
"AT1G01110" 400 128 371 301 91 16 72 41
"AT1G01115" 0 0 0 0 0 0 0 0
"AT1G01120" 1724 622 625 563 583 99 501 371
"AT1G01130" 77 21 21 13 22 2 8 6
"AT1G01140" 445 214 237 391 510 74 317 231
"AT1G01150" 25 1 8 3 3 0 1 1
"AT1G01160" 939 300 674 709 89 27 74 53
"AT1G01170" 266 63 172 367 69 8 29 26
"AT1G01180" 8 9 18 0 3 2 7 1
"AT1G01183" 0 0 0 0 0 0 0 0
"AT1G01190" 0 1 0 0 1 2 0 5
"AT1G01200" 44 10 0 0 3 1 5 4
"AT1G01210" 66 17 48 59 16 13 5 12
"AT1G01220" 470 155 269 204 107 41 97 100
"AT1G01225" 50 10 1 16 12 0 8 2
"AT1G01230" 148 40 56 132 74 18 43 37
"AT1G01240" 211 61 195 130 58 9 35 17
"AT1G01250" 608 149 107 64 53 26 69 54
"AT1G01260" 565 181 378 351 160 24 98 76
"AT1G01270" 0 0 0 0 0 0 0 0
"AT1G01280" 174 24 70 67 99 21 51 58
"AT1G01290" 116 52 42 58 24 3 22 28
"AT1G01300" 7876 3097 7099 10355 711 212 589 503
"AT1G01305" 0 0 0 9 3 0 3 1
"AT1G01310" 249 75 219 163 64 31 99 50
"AT1G01320" 10950 3105 4108 5204 2390 611 1387 1314
"AT1G01340" 48 7 22 14 2 0 6 0
"AT1G01350" 425 113 226 254 24 6 25 18
"AT1G01355" 4 1 0 0 3 0 0 0
"AT1G01360" 227 45 106 66 37 8 17 28
"AT1G01370" 94 33 57 64 15 4 11 16
"AT1G01380" 0 0 0 0 1 0 2 0
"AT1G01390" 0 0 0 0 1 1 0 0
"AT1G01400" 7 10 0 2 0 0 2 0
"AT1G01410" 0 0 0 0 0 0 0 0
"AT1G01420" 54 7 28 3 4 0 0 1
"AT1G01430" 647 221 452 389 96 38 81 48
"AT1G01440" 555 132 299 277 62 10 49 54
"AT1G01448" 535 178 551 475 24 2 14 16
"AT1G01450" 3 2 0 0 0 0 0 0
"AT1G01453" 8 1 0 0 2 0 1 0
"AT1G01460" 104 32 114 88 16 9 20 9
"AT1G01470" 55 21 34 81 253 8 180 95
"AT1G01471" 0 0 0 0 0 0 0 0
"AT1G01480" 101 22 73 34 49 5 13 22
"AT1G01490" 1251 458 619 512 133 32 132 84
"AT1G01500" 240 64 255 328 79 34 55 48
"AT1G01510" 904 264 518 656 281 82 190 144
"AT1G01520" 155 14 1 2 2 0 0 4
"AT1G01530" 0 3 0 0 1 0 0 0
"AT1G01540" 1389 524 644 755 291 65 300 160
"AT1G01550" 960 258 636 675 566 68 339 274
"AT1G01560" 6 0 8 3 42 3 12 19
"AT1G01570" 77 12 68 57 36 4 11 7
"AT1G01580" 37 11 16 13 44 3 16 12
"AT1G01590" 329 108 153 212 27 5 30 19
"AT1G01600" 937 332 246 460 501 143 428 388
"AT1G01610" 2064 643 1024 1118 452 131 423 308
"AT1G01620" 2229 621 1544 1962 1822 406 947 889
"AT1G01630" 704 320 347 312 113 30 98 74
"AT1G01640" 66 12 4 40 8 2 7 5
"AT1G01650" 596 155 394 573 305 69 208 198
"AT1G01660" 185 52 16 53 8 2 6 4
"AT1G01670" 183 79 90 114 16 2 4 11
"AT1G01680" 0 1 0 0 0 0 0 0
"AT1G01690" 188 70 141 260 34 2 24 20
"AT1G01695" 4 6 26 3 6 0 4 2
"AT1G01700" 46 34 45 71 9 3 3 7
"AT1G01710" 575 166 322 318 156 43 107 119
"AT1G01720" 475 130 299 383 223 63 147 140
"AT1G01725" 35 17 49 59 11 6 12 6
"AT1G01730" 339 81 171 270 41 19 27 21
"AT1G01740" 78 21 41 106 21 1 17 9
"AT1G01750" 50 19 32 27 7 0 2 5
"AT1G01760" 123 26 55 74 7 8 11 8
"AT1G01770" 541 182 402 495 134 29 94 68
"AT1G01780" 520 186 376 388 38 10 48 19
"AT1G01790" 743 230 282 537 327 67 194 168
"AT1G01800" 173 90 177 215 112 28 65 47
"AT1G01810" 39 12 21 1 0 0 4 2
"AT1G01820" 634 225 902 828 125 33 74 68
"AT1G01830" 827 264 447 398 267 71 135 131
"AT1G01840" 65 16 14 40 8 1 3 9
"AT1G01860" 65 41 138 112 28 3 26 13
"AT1G01870" 0 0 0 0 0 0 0 0
"AT1G01880" 47 10 23 36 18 2 25 12
"AT1G01890" 0 0 0 5 0 0 0 0
"AT1G01900" 534 144 225 285 214 54 142 124
"AT1G01910" 264 89 250 298 126 48 109 65
"AT1G01920" 367 86 147 259 105 22 79 60
"AT1G01930" 396 91 308 270 49 14 47 24
