"GSM1377347" "GSM1377348" "GSM1377349" "GSM1377350" "GSM1377351" "GSM1377352" "GSM1377353" "GSM1377354" "GSM1377355" "GSM1377356" "GSM1377357" "GSM1377358" "GSM1377359" "GSM1377360" "GSM1377361" "GSM1377362" "GSM1377363" "GSM1377364" "GSM1377365" "GSM1377366" "GSM1377367" "GSM1377368" "GSM1377369"
"AT1G01010" 33 18 6 15 18 7 36 18 26 45 24 17 196 142 132 141 16 179 171 3 13 7 23
"AT1G01020" 17 17 0 11 19 5 37 11 15 35 17 13 160 145 142 108 13 123 126 8 10 9 11
"AT1G01030" 29 13 2 14 9 2 25 14 16 32 17 15 188 116 115 98 13 108 108 5 13 7 9
"AT1G01040" 214 285 55 146 222 53 421 252 252 491 247 197 2073 1602 1650 809 178 1078 873 74 122 72 112
"AT1G01046" 5 10 5 2 7 2 1 2 3 1 2 2 18 13 15 5 2 9 6 1 1 0 0
"AT1G01050" 66 74 6 28 46 9 148 22 44 150 35 34 586 438 556 723 105 913 875 28 60 32 24
"AT1G01060" 144 208 5 126 116 15 140 124 192 45 201 101 4890 2058 1911 1219 316 2356 1385 82 152 121 104
"AT1G01070" 9 7 0 7 6 0 6 5 2 19 3 2 57 48 58 52 11 55 54 1 3 4 8
"AT1G01073" 1 1 17 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 105 95 14 63 90 16 166 37 34 205 29 29 1022 703 695 1092 210 1170 1337 45 54 41 66
"AT1G01090" 108 238 87 72 148 78 491 219 243 729 185 140 2404 1807 1841 4358 833 5355 5662 114 163 70 154
"AT1G01100" 759 601 151 473 585 136 1107 234 255 1321 219 166 6109 4542 4961 8275 1123 8323 8469 409 513 357 574
"AT1G01110" 29 32 6 17 25 17 58 28 31 64 23 13 259 200 190 279 36 272 261 25 16 10 14
"AT1G01115" 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 120 147 40 108 112 51 263 169 133 283 159 106 1731 1077 1317 1625 268 1703 1817 79 119 92 110
"AT1G01130" 13 12 2 9 9 0 20 9 7 18 6 6 122 78 92 75 12 104 94 6 8 6 6
"AT1G01140" 85 76 13 57 69 14 265 127 124 328 133 86 1129 1087 959 1146 182 1146 1371 88 109 82 118
"AT1G01150" 0 1 0 2 0 0 5 1 2 7 0 2 25 31 14 21 4 31 29 1 0 2 1
"AT1G01160" 35 32 6 29 22 6 62 24 20 84 12 12 251 200 232 316 60 314 254 15 24 12 12
"AT1G01170" 96 88 26 48 81 17 224 25 31 218 28 24 650 465 483 843 109 900 808 35 61 25 52
"AT1G01180" 5 4 4 2 3 1 4 3 2 13 1 1 22 15 13 26 8 25 20 2 1 0 2
"AT1G01183" 39 27 38 16 24 20 55 77 38 34 67 45 107 78 86 2 0 0 0 18 9 12 19
"AT1G01190" 2 1 0 1 0 0 4 0 0 1 0 0 0 1 2 4 0 5 5 0 0 0 0
"AT1G01200" 3 0 2 1 0 0 4 0 1 2 0 0 9 5 9 27 10 39 29 0 2 1 2
"AT1G01210" 15 17 2 10 8 3 15 4 3 17 4 2 60 46 45 67 8 78 86 3 8 3 6
"AT1G01220" 28 43 22 16 20 18 81 36 51 108 42 29 484 416 454 352 75 531 543 11 17 18 38
"AT1G01225" 13 8 1 16 8 2 20 1 4 18 5 4 70 48 79 104 15 99 69 9 5 6 4
"AT1G01230" 26 15 3 5 14 2 64 25 24 78 20 14 352 321 286 305 51 298 324 19 22 15 34
"AT1G01240" 16 17 4 5 15 4 69 9 12 72 8 5 158 122 117 105 16 154 143 10 8 8 10
"AT1G01250" 9 13 10 4 5 4 29 2 3 15 8 4 91 68 102 148 45 166 213 7 13 10 10
"AT1G01260" 99 88 22 66 84 11 177 117 123 195 99 72 856 676 788 582 105 666 532 57 76 52 90
"AT1G01270" 23021 16755 8751 4208 11088 8498 71307 453609 269314 75424 485167 241008 71194 54496 60832 354 55 1373 1157 58999 45547 55697 151655
"AT1G01280" 30 49 5 19 29 6 56 69 82 100 42 34 758 551 660 1038 156 723 817 62 80 22 47
"AT1G01290" 44 33 4 22 32 5 65 28 39 78 32 23 425 310 317 310 76 406 367 21 29 21 30
"AT1G01300" 204 337 130 119 230 94 308 164 143 425 138 109 1582 1341 1594 4211 648 4102 5085 93 152 64 146
"AT1G01305" 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 2 0 1 1 0 0 0 0
"AT1G01310" 16 10 13 8 4 1 25 4 3 41 1 4 97 74 103 190 24 187 68 7 6 7 1
"AT1G01320" 542 639 148 317 473 155 1878 854 1018 2064 1007 724 8331 5809 5963 3471 732 4842 4813 295 551 305 511
"AT1G01340" 3 2 0 1 0 1 5 5 4 4 5 1 41 49 39 38 5 42 36 2 2 0 7
"AT1G01350" 31 26 10 19 11 7 65 17 15 62 16 22 251 218 180 261 47 288 239 9 29 8 14
"AT1G01355" 0 0 0 0 0 0 1 0 0 1 0 1 9 5 4 9 2 8 9 0 0 0 0
"AT1G01360" 28 33 9 21 21 10 64 19 20 63 18 15 273 171 206 240 45 239 235 11 25 19 15
"AT1G01370" 36 39 3 15 32 6 50 13 11 63 18 17 254 251 224 268 44 284 327 20 19 17 9
"AT1G01380" 3 1 0 0 0 0 0 0 0 0 0 0 2 4 4 4 0 2 1 0 0 0 0
"AT1G01390" 0 0 0 0 0 0 1 0 0 0 0 0 10 1 7 3 5 6 9 0 1 0 0
"AT1G01400" 0 0 0 0 0 0 1 0 0 1 1 0 6 6 12 16 1 11 10 0 0 0 0
"AT1G01410" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 2 3 2 1 2 0 0 2 1 1 1 0 12 12 9 11 1 6 13 0 1 0 0
"AT1G01430" 29 27 26 16 31 17 85 28 17 103 26 10 281 245 215 370 69 504 477 14 25 10 29
"AT1G01440" 18 30 10 18 20 7 61 36 21 74 29 23 255 222 231 201 30 233 202 16 15 16 18
"AT1G01448" 6 7 5 3 2 3 9 4 3 15 9 2 49 43 39 59 14 105 113 5 3 1 4
"AT1G01450" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"AT1G01453" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01460" 3 1 2 0 2 1 6 1 0 7 0 0 21 20 26 14 3 20 5 0 1 0 0
"AT1G01470" 7 5 8 8 7 7 63 8 4 47 13 2 302 305 229 282 38 266 333 11 21 9 19
"AT1G01471" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01480" 2 3 0 3 1 0 2 1 2 2 0 1 3 9 6 23 2 26 18 2 0 2 0
"AT1G01490" 18 24 12 17 8 12 160 28 44 180 45 36 589 455 445 764 119 814 790 34 60 24 42
"AT1G01500" 22 32 32 16 19 23 125 39 29 149 39 25 565 431 443 393 69 389 370 28 36 18 26
"AT1G01510" 66 89 36 17 52 35 253 114 85 287 102 63 1178 946 854 944 158 1077 1181 44 84 48 64
"AT1G01520" 2 2 0 3 2 0 8 3 2 4 3 1 42 33 33 11 9 30 30 1 2 4 1
"AT1G01530" 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
