"GSM1420955" "GSM1420956" "GSM1420957" "GSM1420958" "GSM1420959" "GSM1420954" "GSM1420962" "GSM1420963" "GSM1420953" "GSM1420961" "GSM1420960"
"AT1G01010" 586 0 31 33 110 30 11 34 92 95 112
"AT1G01020" 962 1 39 827 207 70 171 58 107 180 168
"AT1G01030" 967 57 16 574 456 1083 97 320 559 1182 1965
"AT1G01040" 7 2 998 126 579 315 733 600 914 726 674
"AT1G01046" 0 0 0 0 0 0 18 3 0 9 0
"AT1G01050" 1 3 0 563 131 453 0 34 323 50 14
"AT1G01060" 596 11 39 225 549 6663 250 3881 7635 2330 4510
"AT1G01070" 0 0 0 0 0 0 0 1 0 0 0
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 0 0 0 0 16 183 142 33 114 5 1
"AT1G01090" 906 6 4 360 1515 802 46 274 1384 366 338
"AT1G01100" 301 19 3253 635 1078 917 329 117 1013 244 204
"AT1G01110" 1 1 2 0 4 2 0 0 30 2 1
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 2742 813 537783 31904 27485 7564 1253 2216 5311 1540 2415
"AT1G01130" 0 0 0 1 4 31 0 1 20 19 0
"AT1G01140" 819 34 300 1694 6200 5955 1133 2997 12012 2580 9409
"AT1G01150" 0 0 0 0 0 0 0 0 0 1 0
"AT1G01160" 30 0 0 583 197 64 156 110 61 427 268
"AT1G01170" 35 0 0 0 9 45 0 3 82 55 0
"AT1G01180" 0 0 0 54 9 228 86 67 43 60 31
"AT1G01183" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01190" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01200" 0 0 0 0 0 0 0 23 2 0 0
"AT1G01210" 154 0 1 0 3 7 0 14 21 15 4
"AT1G01220" 13 6 0 1 293 40 29 95 196 59 20
"AT1G01225" 1 1 1 0 16 0 0 0 25 0 0
"AT1G01230" 13 51 11 192 436 142 1023 278 165 724 398
"AT1G01240" 1 0 0 26 393 48 57 103 84 149 17
"AT1G01250" 0 0 0 0 0 0 0 0 1 0 0
"AT1G01260" 156590 94 301 1711 1850 367 1163 3187 590 3934 971
"AT1G01270" 0 0 0 0 0 0 0 0 3 0 0
"AT1G01280" 0 0 0 0 0 1 0 0 7 0 0
"AT1G01290" 0 0 0 0 5 24 39 40 31 2 11
"AT1G01300" 2 0 61 7 309 27 4 63 76 30 47
"AT1G01305" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01310" 0 0 0 0 1 86 0 1 23 0 0
"AT1G01320" 231 18 53 952 2717 7300 497 533 22925 633 785
"AT1G01340" 5 3 6 0 44 154 0 10 264 1 0
"AT1G01350" 75 1 10 506 313 66 307 82 370 298 942
"AT1G01355" 0 0 0 0 0 4 0 0 0 0 0
"AT1G01360" 4 3 888 2 161 123 172 110 107 108 59
"AT1G01370" 0 0 0 1 3 12 0 5 7 3 3789
"AT1G01380" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01390" 0 0 0 0 0 29 0 0 0 0 0
"AT1G01400" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01410" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01420" 0 0 0 0 0 0 0 1 0 0 1
"AT1G01430" 0 0 0 0 34 3 62 27 46 54 38
"AT1G01440" 0 4220 2 35162 175 11 175 151 67 826 659
"AT1G01448" 90 0 2 3 139 33 1 75 60 256 20
"AT1G01450" 0 0 0 0 2 1 0 2 1 3 0
"AT1G01453" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01460" 0 0 0 0 0 21 0 0 0 0 0
"AT1G01470" 10 0 145 40 210 455 470 136 677 1074 870
"AT1G01471" 0 0 0 0 0 0 0 0 0 0 0
"AT1G01480" 1 0 0 1 13 20 640 268 76 614 245
"AT1G01490" 3945 6 9 720 966 750 4099 3018 889 2601 2553
"AT1G01500" 1 0 0 37 262 106 19 316 85 520 206
"AT1G01510" 4275 1 2 163 831 189 13 79 273 76 372
