"GSM1441333" "GSM1441334" "GSM1441335" "GSM1441336"
"AT1G01010" 138 138 182 173
"AT1G01020" 121 145 253 216
"AT1G01030" 136 172 214 174
"AT1G01040" 1224 1715 1935 2511
"AT1G01046" 13 35 24 63
"AT1G01050" 1365 1506 2784 2756
"AT1G01060" 3034 3232 4206 4628
"AT1G01070" 108 125 164 146
"AT1G01073" 0 0 0 0
"AT1G01080" 940 886 1703 1534
"AT1G01090" 5674 5561 9130 9429
"AT1G01100" 3731 4018 8115 6043
"AT1G01110" 333 315 461 443
"AT1G01115" 0 0 0 0
"AT1G01120" 2808 3254 7272 7568
"AT1G01130" 19 27 104 60
"AT1G01140" 985 1013 1389 1495
"AT1G01150" 10 8 47 21
"AT1G01160" 518 657 1012 830
"AT1G01170" 57 173 863 305
"AT1G01180" 46 75 160 131
"AT1G01183" 0 0 0 0
"AT1G01190" 0 5 5 4
"AT1G01200" 47 44 106 70
"AT1G01210" 109 132 234 184
"AT1G01220" 784 888 1214 1499
"AT1G01225" 120 101 187 168
"AT1G01230" 375 429 682 647
"AT1G01240" 369 532 640 679
"AT1G01250" 308 400 971 589
"AT1G01260" 609 593 858 953
"AT1G01270" 0 0 0 0
"AT1G01280" 1126 547 1146 971
"AT1G01290" 298 302 488 513
"AT1G01300" 4603 4328 7232 6944
"AT1G01305" 9 11 30 19
"AT1G01310" 346 461 678 636
"AT1G01320" 6656 10590 10319 13054
"AT1G01340" 33 46 50 75
"AT1G01350" 374 396 524 542
"AT1G01355" 7 9 11 10
"AT1G01360" 246 307 563 430
"AT1G01370" 172 144 256 226
"AT1G01380" 2 2 11 7
"AT1G01390" 17 16 16 19
"AT1G01400" 10 31 21 32
"AT1G01410" 1 0 0 0
"AT1G01420" 28 46 69 77
"AT1G01430" 933 1250 2662 2541
"AT1G01440" 363 439 579 594
"AT1G01448" 89 126 148 180
"AT1G01450" 2 1 1 2
"AT1G01453" 0 0 3 0
"AT1G01460" 147 194 236 231
"AT1G01470" 96 119 370 247
"AT1G01471" 0 0 0 0
"AT1G01480" 83 69 45 64
"AT1G01490" 707 743 1063 1056
"AT1G01500" 483 591 725 774
"AT1G01510" 1453 1492 2022 2259
"AT1G01520" 55 51 93 107
"AT1G01530" 11 9 29 24
"AT1G01540" 1588 1764 2578 2512
"AT1G01550" 2650 3140 4495 4707
"AT1G01560" 44 48 122 100
"AT1G01570" 122 100 177 161
"AT1G01580" 117 182 161 205
"AT1G01590" 284 276 450 456
"AT1G01600" 3526 2819 5248 4382
"AT1G01610" 3405 3463 6419 6197
"AT1G01620" 9407 9675 15538 13812
"AT1G01630" 1209 1590 2180 1989
"AT1G01640" 40 33 82 78
"AT1G01650" 1482 1714 2427 2514
"AT1G01660" 12 28 55 33
"AT1G01670" 42 71 112 108
"AT1G01680" 3 2 4 7
"AT1G01690" 195 202 269 294
"AT1G01695" 10 11 16 17
"AT1G01700" 43 72 88 88
"AT1G01710" 774 984 1503 1592
"AT1G01720" 932 1068 1804 1916
"AT1G01725" 31 49 178 84
"AT1G01730" 459 448 713 669
"AT1G01740" 96 142 177 220
"AT1G01750" 27 52 73 64
"AT1G01760" 67 78 121 120
"AT1G01770" 478 603 759 934
"AT1G01780" 275 324 570 466
"AT1G01790" 2240 3090 4007 5047
"AT1G01800" 871 955 1696 1486
"AT1G01810" 21 9 29 31
"AT1G01820" 528 672 984 1011
"AT1G01830" 1012 1529 2033 1864
"AT1G01840" 23 29 58 40
"AT1G01860" 151 181 252 243
"AT1G01870" 0 0 0 0
"AT1G01880" 136 179 207 239
"AT1G01890" 0 0 0 0
"AT1G01900" 534 451 776 780
"AT1G01910" 1203 1263 1979 1944
"AT1G01920" 506 492 719 791
"AT1G01930" 287 328 483 465
"AT1G01940" 159 155 226 197
"AT1G01950" 529 719 853 1019
"AT1G01960" 3097 3882 4540 5747
"AT1G01970" 555 559 1070 1014
"AT1G01980" 1005 1333 1756 1592
"AT1G01990" 401 404 765 626
"AT1G02000" 1015 1376 1685 1778
"AT1G02010" 454 461 703 848
"AT1G02020" 412 454 681 705
"AT1G02030" 13 24 23 27
"AT1G02040" 87 47 150 111
"AT1G02050" 2590 1245 2835 2443
"AT1G02060" 274 266 339 403
"AT1G02065" 771 671 1239 1107
"AT1G02070" 59 66 139 126
"AT1G02074" 0 0 1 0
"AT1G02080" 3722 5310 5630 7170
"AT1G02090" 970 923 1545 1421
"AT1G02100" 562 654 883 985
"AT1G02110" 964 954 1425 1386
"AT1G02120" 1126 1375 2123 2321
"AT1G02130" 693 766 1489 1228
"AT1G02136" 0 0 0 0
"AT1G02140" 1716 2031 3560 2955
"AT1G02145" 556 618 777 962
"AT1G02150" 1615 1787 3201 2810
"AT1G02160" 79 132 582 274
"AT1G02170" 574 613 852 991
"AT1G02180" 202 196 314 325
"AT1G02190" 4984 4894 7203 7622
"AT1G02205" 26303 34983 47628 58403
"AT1G02210" 0 0 0 0
"AT1G02220" 45 45 80 106
"AT1G02228" 0 0 0 1
"AT1G02230" 18 20 20 13
"AT1G02250" 6 3 3 3
"AT1G02260" 339 453 625 750
"AT1G02270" 276 379 477 483
"AT1G02280" 1200 1207 2128 1816
"AT1G02290" 350 369 458 448
"AT1G02300" 190 233 388 391
"AT1G02305" 1819 2374 4102 3703
"AT1G02310" 11 19 10 25
"AT1G02320" 0 0 0 1
"AT1G02330" 402 467 803 690
"AT1G02335" 75 70 228 146
"AT1G02340" 259 314 413 387
"AT1G02350" 8 27 57 39
"AT1G02360" 4 0 2 3
"AT1G02370" 328 330 385 473
"AT1G02380" 60 64 115 91
"AT1G02390" 61 41 69 99
"AT1G02391" 0 0 0 0
"AT1G02400" 41 53 93 78
"AT1G02405" 11 7 12 2
"AT1G02410" 417 509 702 741
"AT1G02420" 117 88 138 152
"AT1G02430" 11 23 44 32
"AT1G02440" 0 3 4 1
"AT1G02450" 48 59 116 90
"AT1G02460" 42 51 53 42
"AT1G02470" 383 654 531 609
"AT1G02475" 424 668 1143 1070
"AT1G02480" 0 0 0 0
"AT1G02490" 0 1 0 1
"AT1G02500" 7685 8898 17123 15315
"AT1G02510" 47 53 71 41
"AT1G02520" 487 506 572 678
"AT1G02530" 385 434 868 1202
"AT1G02540" 0 0 1 2
"AT1G02550" 3 1 6 5
"AT1G02560" 3350 3884 6054 5932
"AT1G02570" 0 1 2 2
"AT1G02575" 0 0 0 0
"AT1G02580" 11 31 69 59
"AT1G02590" 0 0 0 0
"AT1G02600" 0 0 0 0
"AT1G02610" 23 44 35 52
"AT1G02620" 1 1 1 1
"AT1G02630" 63 48 150 137
"AT1G02640" 1863 1691 2763 3276
"AT1G02650" 14 14 20 30
"AT1G02660" 670 820 1027 1157
"AT1G02670" 98 163 153 236
"AT1G02680" 162 189 354 280
