"GSM1569977" "GSM1569978" "GSM1569979" "GSM1569980" "GSM1569981" "GSM1569982" "GSM1569983" "GSM1569984" "GSM1569985" "GSM1569986" "GSM1569987" "GSM1569988" "GSM1569989" "GSM1569990" "GSM1569991" "GSM1569992" "GSM1569993" "GSM1569994" "GSM1569995" "GSM1569996" "GSM1569997" "GSM1569998" "GSM1569999" "GSM1570000" "GSM1570001" "GSM1570002" "GSM1570003" "GSM1570004" "GSM1570005" "GSM1570006" "GSM1570007" "GSM1570008" "GSM1569976" "GSM1570009" "GSM1570010" "GSM1570011" "GSM1570012" "GSM1570013" "GSM1570014" "GSM1570015"
"AT1G01010" 110 6 2 425 16 9 275 212 229 221 122 128 963 206 431 159 239 31 275 141 473 163 349 15 188 161 29 73 422 17 40 125 231 285 122 117 33 3 15 95
"AT1G01020" 21 0 0 79 3 3 57 40 46 43 25 25 161 39 80 34 48 5 57 29 88 35 71 3 37 35 4 9 77 3 5 25 47 59 25 22 5 0 3 17
"AT1G01030" 1 0 0 2 0 0 2 1 1 1 1 1 9 1 2 1 1 0 2 1 3 1 2 0 1 1 0 1 2 0 0 1 1 2 1 1 0 0 0 1
"AT1G01040" 16 0 0 60 3 1 41 28 31 30 17 20 137 28 61 27 37 6 41 23 67 27 53 3 27 27 5 8 60 3 7 18 35 47 17 16 6 0 3 13
"AT1G01046" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01050" 45 3 1 175 8 4 114 89 96 95 58 58 391 84 177 64 104 17 114 62 195 65 148 8 76 64 11 35 171 8 21 58 99 123 58 51 17 1 8 44
"AT1G01060" 18 2 1 78 2 2 53 40 41 41 23 25 174 40 79 31 45 6 53 28 87 33 66 2 37 32 5 14 75 2 7 25 43 56 23 19 6 1 2 18
"AT1G01070" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01073" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01080" 2 1 0 10 1 1 8 7 8 8 3 3 24 6 10 5 8 2 8 5 11 5 8 1 6 5 1 2 10 1 2 3 8 8 3 2 2 0 1 2
"AT1G01090" 109 11 5 389 19 14 258 201 216 207 123 131 856 195 397 159 224 31 256 147 429 165 343 18 180 164 27 73 388 20 47 127 220 268 123 117 39 8 17 92
"AT1G01100" 703 64 36 2726 114 90 1747 1366 1450 1402 804 863 5679 1328 2764 1054 1554 221 1741 960 3010 1076 2301 111 1233 1065 177 460 2705 119 283 838 1497 1857 810 737 244 53 104 625
"AT1G01110" 6 0 0 40 1 0 27 22 26 25 9 11 112 21 40 15 27 1 27 12 52 16 36 1 19 16 1 6 40 1 3 11 26 27 9 7 2 0 1 6
"AT1G01115" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01120" 99 5 0 343 14 12 213 170 180 174 111 117 734 164 347 138 187 34 213 132 373 141 289 14 155 140 25 57 339 14 41 115 185 224 112 103 35 2 14 90
"AT1G01130" 0 0 0 6 0 0 2 2 2 2 0 0 8 2 6 2 2 0 2 1 6 2 4 0 2 2 0 0 6 0 0 0 2 2 0 0 0 0 0 0
"AT1G01140" 88 11 2 329 19 13 222 187 197 192 112 119 744 182 332 147 206 30 222 129 363 149 290 19 166 149 26 51 327 19 34 117 200 229 113 94 31 4 19 77
"AT1G01150" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01160" 10 2 0 29 3 2 19 16 16 16 12 12 68 16 31 13 16 3 19 13 33 14 25 3 14 13 3 7 29 3 6 12 16 19 12 11 6 1 3 9
"AT1G01170" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT1G01180" 0 0 0 3 0 0 2 1 1 1 0 0 5 1 3 0 1 0 2 0 3 0 3 0 0 0 0 0 3 0 0 0 1 2 0 0 0 0 0 0
