"GSM1627450" "GSM1627451" "GSM1627452" "GSM1627453" "GSM1627454" "GSM1627455"
"AT1G01010" 108 107 101 157 100 106
"AT1G01020" 52 54 77 68 63 61
"AT1G01030" 39 38 66 66 43 78
"AT1G01040" 246 153 230 229 245 224
"AT1G01046" 4 0 4 3 3 7
"AT1G01050" 581 760 679 774 714 719
"AT1G01060" 6013 4832 7464 7211 6368 7136
"AT1G01070" 82 106 126 173 114 103
"AT1G01073" 0 0 0 0 0 0
"AT1G01080" 539 536 595 677 678 629
"AT1G01090" 4515 4303 4685 4619 4572 4515
"AT1G01100" 1100 1594 1245 1410 1572 1298
"AT1G01110" 56 37 63 82 77 101
"AT1G01115" 0 0 0 0 0 0
"AT1G01120" 980 977 849 1219 1263 1242
"AT1G01130" 10 9 10 18 16 14
"AT1G01140" 1064 908 1396 1269 1146 1443
"AT1G01150" 0 0 1 0 0 0
"AT1G01160" 333 308 330 308 352 320
"AT1G01170" 235 323 390 441 349 420
"AT1G01180" 384 411 391 472 440 428
"AT1G01183" 0 0 0 0 0 0
"AT1G01190" 13 19 26 27 27 12
"AT1G01200" 2 3 6 7 4 7
"AT1G01210" 26 29 30 34 41 27
"AT1G01220" 147 123 202 195 167 177
"AT1G01225" 18 31 27 26 30 27
"AT1G01230" 164 201 209 228 247 232
"AT1G01240" 506 384 570 606 520 635
"AT1G01250" 16 17 23 30 29 17
"AT1G01260" 154 160 185 210 228 206
"AT1G01270" 0 0 0 0 0 0
"AT1G01280" 1 0 0 0 0 0
"AT1G01290" 74 52 80 80 94 82
"AT1G01300" 469 570 438 514 508 508
"AT1G01305" 0 1 0 0 0 0
"AT1G01310" 1 1 0 1 2 3
"AT1G01320" 2084 1200 2595 2012 1779 2400
"AT1G01340" 95 93 127 148 121 115
"AT1G01350" 158 106 182 200 171 209
"AT1G01355" 0 0 2 1 0 0
"AT1G01360" 123 145 154 178 156 171
"AT1G01370" 12 18 13 18 23 13
"AT1G01380" 7 10 11 12 14 7
"AT1G01390" 106 110 152 170 132 193
"AT1G01400" 0 0 1 0 0 0
"AT1G01410" 0 0 0 0 0 0
"AT1G01420" 65 82 69 106 107 99
"AT1G01430" 1619 1674 1612 2044 2022 1824
"AT1G01440" 281 256 307 340 307 351
"AT1G01448" 122 94 137 129 96 118
"AT1G01450" 0 0 0 2 0 1
"AT1G01453" 0 10 3 9 6 4
"AT1G01460" 0 1 0 1 0 0
"AT1G01470" 286 248 210 287 301 346
"AT1G01471" 0 0 0 0 0 0
"AT1G01480" 9 10 12 17 7 17
"AT1G01490" 1405 996 1730 1776 1676 1708
"AT1G01500" 74 66 66 92 85 91
"AT1G01510" 534 531 579 527 514 649
"AT1G01520" 43 37 57 49 40 66
"AT1G01530" 0 0 0 0 0 0
"AT1G01540" 857 755 994 965 987 871
"AT1G01550" 1659 1779 1889 2385 2019 2126
"AT1G01560" 1 0 7 4 2 5
"AT1G01570" 21 38 34 35 40 35
"AT1G01580" 21 18 26 33 36 70
"AT1G01590" 0 3 1 1 0 1
"AT1G01600" 33 30 25 42 47 38
"AT1G01610" 1298 1174 1240 1442 1592 1452
"AT1G01620" 14154 14267 13186 13716 14839 15307
"AT1G01630" 334 281 321 459 406 369
"AT1G01640" 93 146 106 138 119 112
"AT1G01650" 288 282 329 384 327 329
"AT1G01660" 2 1 8 10 14 7
"AT1G01670" 4 4 3 4 2 2
"AT1G01680" 1 0 0 0 0 0
"AT1G01690" 15 8 19 23 17 14
"AT1G01695" 1 2 0 1 0 0
"AT1G01700" 12 3 15 4 12 10
"AT1G01710" 307 324 329 347 335 335
"AT1G01720" 1296 1449 1477 1540 1285 1494
"AT1G01725" 51 73 61 93 70 76
"AT1G01730" 292 360 330 346 333 336
"AT1G01740" 25 27 20 31 22 21
"AT1G01750" 38 60 44 87 64 59
"AT1G01760" 33 23 34 36 31 31
"AT1G01770" 230 184 262 275 222 239
"AT1G01780" 230 187 193 204 236 201
"AT1G01790" 989 964 1211 1220 1143 1304
"AT1G01800" 470 565 518 682 574 597
"AT1G01810" 2 4 1 4 4 3
"AT1G01820" 400 438 411 511 452 441
"AT1G01830" 273 259 283 295 292 346
"AT1G01840" 4 3 6 2 6 3
"AT1G01860" 56 37 47 65 54 62
"AT1G01870" 0 0 0 0 0 0
"AT1G01880" 12 10 7 15 10 17
"AT1G01890" 0 0 0 0 0 0
"AT1G01900" 52 68 55 67 53 60
"AT1G01910" 221 256 274 306 280 287
"AT1G01920" 144 151 143 145 182 159
"AT1G01930" 148 127 197 172 184 167
"AT1G01940" 59 65 66 79 74 63
"AT1G01950" 145 107 163 183 147 169
"AT1G01960" 1032 972 1320 1251 968 1223
"AT1G01970" 173 218 220 265 245 230
"AT1G01980" 2 3 2 1 1 1
"AT1G01990" 496 527 454 552 553 427
"AT1G02000" 302 289 292 353 361 338
"AT1G02010" 118 76 120 89 107 115
"AT1G02020" 301 287 285 289 276 297
"AT1G02030" 4 2 5 5 3 6
"AT1G02040" 3 0 4 4 1 4
"AT1G02050" 135 131 143 131 177 145
"AT1G02060" 147 127 157 154 137 162
"AT1G02065" 8 19 12 5 13 7
"AT1G02070" 2 1 0 2 3 2
"AT1G02074" 2 0 0 1 0 1
"AT1G02080" 1091 848 1102 1073 926 1075
"AT1G02090" 229 274 247 294 265 255
"AT1G02100" 634 640 592 737 676 625
"AT1G02110" 845 735 769 702 819 832
"AT1G02120" 643 562 738 703 639 645
"AT1G02130" 447 509 478 528 582 566
"AT1G02136" 0 0 0 0 0 0
"AT1G02140" 808 984 916 1139 1061 933
"AT1G02145" 131 115 161 170 143 147
"AT1G02150" 1161 1289 1204 1404 1348 1362
"AT1G02160" 91 93 105 139 142 126
"AT1G02170" 572 501 599 587 554 538
"AT1G02180" 38 41 38 49 43 57
"AT1G02190" 4 7 6 3 9 4
"AT1G02205" 88 82 87 67 115 83
"AT1G02210" 0 0 0 0 0 0
"AT1G02220" 106 142 144 215 164 193
"AT1G02228" 0 0 0 0 0 0
"AT1G02230" 17 9 12 14 15 13
"AT1G02250" 0 0 0 1 0 0
"AT1G02260" 74 84 80 112 90 103
"AT1G02270" 82 80 103 119 94 108
"AT1G02280" 810 995 946 1082 1034 1064
"AT1G02290" 77 80 107 119 111 131
"AT1G02300" 59 43 68 59 56 74
"AT1G02305" 1056 1239 1230 1469 1255 1285
"AT1G02310" 0 2 4 1 2 1
"AT1G02320" 0 0 0 0 0 1
"AT1G02330" 187 137 232 235 214 220
"AT1G02335" 182 195 174 219 179 212
"AT1G02340" 488 421 530 640 641 640
"AT1G02350" 10 19 13 25 15 11
"AT1G02360" 340 419 386 465 425 398
"AT1G02370" 29 29 26 36 41 53
"AT1G02380" 34 18 25 28 35 44
"AT1G02390" 33 31 30 25 37 24
"AT1G02391" 0 0 0 0 0 0
"AT1G02400" 70 85 70 98 71 110
"AT1G02405" 3 6 2 1 8 2
"AT1G02410" 105 133 139 171 156 164
"AT1G02420" 47 35 48 49 47 48
"AT1G02430" 14 10 13 21 25 22
"AT1G02440" 1 1 1 2 3 0
"AT1G02450" 0 0 1 0 0 0
"AT1G02460" 16 20 21 18 18 11
"AT1G02470" 2 5 3 6 5 6
"AT1G02475" 362 364 483 557 471 460
"AT1G02480" 0 0 0 0 0 0
"AT1G02490" 0 0 0 0 0 0
"AT1G02500" 9267 13011 9668 12106 12790 11895
"AT1G02510" 1 0 0 0 0 0
"AT1G02520" 251 195 228 308 261 289
"AT1G02530" 7 9 10 11 4 5
"AT1G02540" 0 0 0 0 0 0
"AT1G02550" 0 0 1 0 0 0
"AT1G02560" 1144 1237 1554 1642 1449 1494
"AT1G02570" 2 14 5 15 14 12
"AT1G02575" 5 2 5 7 8 6
"AT1G02580" 10 10 10 16 17 16
"AT1G02590" 0 0 0 0 0 0
"AT1G02600" 0 0 0 0 0 0
"AT1G02610" 111 87 169 155 109 152
"AT1G02620" 9 4 9 13 6 12
"AT1G02630" 2 4 6 5 1 9
"AT1G02640" 1706 1773 1744 1573 1584 1728
"AT1G02650" 27 32 40 35 31 35
"AT1G02660" 755 510 715 759 717 843
"AT1G02670" 17 8 8 8 12 8
"AT1G02680" 112 99 113 137 137 128
"AT1G02681" 0 0 0 1 0 0
"AT1G02690" 76 105 69 121 105 113
"AT1G02700" 22 16 18 27 20 12
"AT1G02710" 52 34 47 44 47 50
"AT1G02720" 94 104 79 103 103 97
"AT1G02730" 121 137 125 134 136 148
"AT1G02740" 43 67 63 106 63 86
"AT1G02750" 178 229 214 277 211 274
"AT1G02760" 0 0 0 0 0 0
"AT1G02770" 8 18 11 14 18 12
"AT1G02780" 2665 3485 3040 3391 3363 3302
"AT1G02790" 8 15 37 11 10 8
"AT1G02800" 16 11 7 9 14 11
"AT1G02810" 46 46 37 62 45 59
"AT1G02813" 0 0 4 2 0 0
"AT1G02816" 532 520 493 716 644 667
"AT1G02820" 28 40 31 31 24 23
"AT1G02830" 0 0 0 0 0 0
"AT1G02840" 1949 2247 2023 2104 2282 1947
"AT1G02850" 1095 1075 1134 1326 1192 1074
"AT1G02860" 262 219 290 287 279 322
"AT1G02870" 133 152 93 142 159 143
"AT1G02880" 174 150 178 220 179 180
"AT1G02890" 1048 874 1191 1207 1039 1196
"AT1G02900" 372 495 460 697 519 436
"AT1G02910" 245 283 403 332 325 371
"AT1G02920" 722 757 858 1511 1093 1537
"AT1G02930" 204 183 242 397 351 458
"AT1G02940" 0 0 0 0 0 0
"AT1G02950" 38 35 38 40 31 39
"AT1G02952" 0 0 0 0 0 0
"AT1G02960" 96 94 114 120 121 130
"AT1G02965" 1 0 0 0 0 0
"AT1G02970" 3 9 4 9 6 9
"AT1G02980" 5 5 6 2 2 9
"AT1G02990" 153 104 208 210 158 220
"AT1G03000" 171 164 214 239 176 199
"AT1G03010" 27 34 34 41 22 33
"AT1G03020" 2 0 1 2 3 0
"AT1G03022" 0 0 0 0 0 0
"AT1G03030" 130 133 118 181 159 162
"AT1G03040" 335 347 320 383 333 343
"AT1G03050" 1 5 4 4 1 4
"AT1G03055" 25 25 37 32 41 40
"AT1G03060" 577 411 737 629 545 687
"AT1G03070" 12 19 17 36 26 34
"AT1G03080" 856 434 1060 950 783 1001
"AT1G03090" 4076 2996 4354 3880 3328 4247
"AT1G03100" 13 14 22 22 15 13
"AT1G03103" 0 0 0 0 0 0
"AT1G03106" 29 16 6 35 21 19
"AT1G03110" 50 63 63 66 78 60
"AT1G03120" 16 16 11 15 17 20
"AT1G03130" 17788 15623 16791 17047 18364 18685
"AT1G03140" 904 882 963 1028 988 948
"AT1G03150" 92 93 104 122 104 117
"AT1G03160" 231 201 336 315 278 323
"AT1G03170" 7 7 10 9 7 9
"AT1G03180" 7 12 16 21 19 5
"AT1G03190" 66 66 100 100 82 82
"AT1G03200" 3 2 2 4 5 4
"AT1G03210" 90 102 96 135 105 109
"AT1G03220" 7747 8589 7674 10140 9669 8317
"AT1G03230" 405 463 365 517 498 449
"AT1G03240" 1 0 0 0 1 0
"AT1G03250" 132 138 154 194 160 179
"AT1G03260" 64 59 80 96 63 89
"AT1G03270" 11 17 9 20 18 17
"AT1G03280" 282 206 299 328 323 311
"AT1G03290" 329 259 403 445 394 490
"AT1G03300" 47 19 66 58 56 49
"AT1G03310" 162 160 183 184 174 215
"AT1G03320" 3 3 2 4 4 1
"AT1G03330" 193 225 222 239 245 243
"AT1G03340" 11 13 14 21 6 14
"AT1G03350" 510 577 541 680 657 692
"AT1G03360" 49 38 44 74 64 45
"AT1G03365" 158 94 215 191 174 240
"AT1G03370" 193 178 229 270 231 225
"AT1G03380" 1022 814 1092 1222 985 1153
"AT1G03390" 1 2 1 1 3 0
"AT1G03400" 283 251 332 320 279 337
"AT1G03410" 82 44 115 88 72 103
"AT1G03420" 0 0 0 2 1 1
"AT1G03430" 92 110 115 142 114 113
"AT1G03440" 373 314 326 368 444 456
"AT1G03445" 1 3 0 2 1 0
"AT1G03457" 187 164 196 176 160 155
"AT1G03470" 85 55 82 78 73 59
