"develop.series" "wo.seed" "wo.pollen" "stressed.shoots" "stressed.roots" "hormones" "nutrients" "diurnal" "light.trt" "biotic.stress"
"1" "AT4G27960" "AT3G08580" "AT5G08290" "PSAB" "AT1G07600" "AT5G52920" "AT5G02380" "AT3G61470" "AT3G26520" "ATPB"
"2" "AT5G08290" "AT4G09000" "AT1G11650" "AT1G67090" "AT5G60390" "AT3G27890" "AT4G27960" "AT1G60950" "AT2G16850" "AT1G79040"
"3" "AT1G11650" "AT4G05320" "AT1G48440" "AT1G79040" "AT5G42980" "AT3G43520" "AT2G18110" "AT3G27850" "AT2G37130" "PSAB"
"4" "AT5G46020" "AT3G08610" "AT3G12260" "AT3G61470" "AT1G66580" "AT4G26410" "AT1G75950" "AT1G26630" "AT3G09260" "PETB"
"5" "AT1G48440" "AT2G47170" "AT3G03070" "ATPB" "AT5G03290" "AT2G17420" "AT1G32050" "AT2G37270" "AT2G45180" "AT5G02380"
"6" "AT3G12260" "AT1G11650" "AT2G17390" "ATPE" "AT3G42050" "AT2G24765" "AT5G40810" "AT5G40950" "AT2G05540" "AT4G26410"
"7" "AT3G03070" "AT3G03070" "AT1G54080" "RPL2.1" "AT5G40810" "AT2G33220" "AT5G51880" "AT3G09500" "AT4G38770" "AT3G01130"
"8" "AT2G17390" "AT1G54080" "AT1G06530" "PETB" "AT5G46630" "AT1G70320" "AT1G76140" "AT3G02080" "AT3G61430" "AT3G01150"
"9" "AT1G54080" "AT5G46630" "AT5G46630" "AT5G08290" "AT3G25800" "AT5G11500" "AT4G26410" "AT2G22670" "AT2G37180" "AT3G25950"
"10" "AT2G33220" "AT1G48900" "AT3G13200" "AT4G32470" "AT1G02560" "AT3G25800" "AT4G24550" "AT5G47190" "AT5G09440" "AT2G23660"
"11" "AT1G06530" "AT5G46210" "AT1G48900" "AT1G50370" "AT1G34190" "AT1G12230" "AT2G38440" "AT1G67350" "AT3G16370" "AT3G28670"
"12" "AT5G46630" "AT1G32400" "AT5G46210" "AT1G13320" "AT1G13320" "AT1G51710" "AT3G15610" "AT1G76200" "AT1G12090" "AT2G47330"
"13" "AT1G48900" "AT4G24550" "AT4G24550" "AT5G18580" "AT3G51100" "AT4G12590" "AT3G58170" "AT5G08290" "AT2G05520" "AT3G24250"
"14" "AT5G46210" "AT5G58020" "AT2G19790" "AT4G09720" "AT3G26730" "AT1G61250" "AT2G03690" "AT3G03100" "AT5G47450" "AT1G21700"
"15" "AT4G24550" "AT2G27600" "AT5G10780" "AT2G32170" "AT5G46750" "AT4G24550" "AT3G51100" "AT3G52090" "AT4G17340" "AT2G03010"
"16" "AT2G19790" "AT3G56460" "AT3G56460" "AT3G01130" "AT3G08550" "AT4G23650" "AT3G51310" "AT1G43190" "AT2G36830" "AT2G17400"
"17" "AT3G47836" "AT1G13320" "AT2G27600" "AT1G66340" "AT3G51050" "AT5G46210" "AT2G32170" "AT4G22930" "AT4G27960" "AT4G09520"
"18" "AT5G10780" "AT1G80040" "AT1G13320" "AT2G44525" "AT4G34270" "AT1G03900" "AT5G28900" "AT5G65685" "AT3G16460" "AT2G32330"
"19" "AT1G79940" "AT3G25910" "AT4G01370" "AT1G32490" "AT5G09880" "AT5G58020" "AT1G70570" "AT5G11980" "AT2G10940" "AT2G42240"
"20" "AT3G56460" "AT4G14160" "AT4G14160" "AT1G20760" "AT1G01910" "AT3G25040" "AT3G51640" "AT5G46750" "AT3G18780" "AT1G55630"
"21" "AT2G27600" "AT3G54540" "AT5G51880" "AT2G19430" "AT1G69740" "AT5G10160" "AT1G80400" "AT4G14110" "AT3G05880" "AT3G28680"
"22" "AT2G20130" "AT4G26410" "AT1G78920" "AT5G53440" "AT1G31300" "AT4G29040" "AT1G79810" "AT5G66090" "AT5G60390" "AT2G38850"
"23" "AT1G13320" "AT5G06600" "AT4G26410" "AT4G04920" "AT2G46560" "AT3G16660" "AT5G58410" "AT4G38350" "AT1G78040" "AT3G32270"
"24" "AT4G14160" "AT3G60340" "AT5G12120" "AT3G18380" "AT2G39760" "AT1G79210" "AT1G72175" "AT1G55520" "AT1G70830" "AT2G43730"
"25" "AT1G78920" "AT2G16860" "AT4G17640" "AT4G28470" "AT2G44870" "AT1G15370" "AT3G23980" "AT5G20590" "AT4G09000" "AT3G29140"
"26" "AT4G26410" "AT1G31730" "AT5G06600" "AT5G64813" "AT4G28980" "AT5G54430" "AT2G15530" "AT1G54390" "AT3G02470" "AT1G50710"
"27" "AT5G06600" "AT3G10380" "AT2G16860" "AT3G53090" "AT1G30000" "AT2G39080" "AT3G23900" "AT1G47670" "AT1G26630" "AT5G51590"
"28" "AT2G16860" "AT5G53540" "AT1G31730" "AT4G31200" "AT1G54490" "AT1G21570" "AT1G53050" "AT5G46180" "AT2G39310" "AT3G46180"
"29" "AT1G31730" "AT1G80500" "AT5G46750" "AT5G20610" "AT4G02030" "AT5G01010" "AT5G27970" "AT2G41060" "AT3G48140" "AT1G09800"
"30" "AT5G53540" "AT2G28430" "AT3G01340" "AT4G16320" "AT5G11040" "AT2G34470" "AT1G54390" "AT2G35750" "AT4G40030" "AT1G06740"
"31" "AT3G10380" "AT5G53140" "AT3G51610" "AT5G62230" "AT1G77140" "AT4G14615" "AT5G20120" "AT4G17180" "AT5G49720" "AT5G20560"
"32" "AT3G20290" "AT2G39960" "AT1G59830" "AT5G05310" "AT3G19460" "AT5G66240" "AT2G41760" "AT3G05940" "AT4G40040" "AT1G24540"
"33" "AT3G01340" "AT3G51610" "AT1G01910" "AT2G38850" "AT5G65050" "AT4G32930" "AT1G65430" "AT1G73440" "AT4G38920" "AT4G16320"
"34" "AT5G46750" "AT1G59830" "AT3G57890" "AT5G21010" "AT5G15710" "AT3G51100" "AT2G32900" "AT2G30350" "AT1G53210" "AT4G28000"
"35" "AT3G51610" "AT3G57890" "AT3G28970" "AT5G63440" "AT2G26930" "AT3G11500" "AT2G25560" "AT4G19990" "AT4G11150" "AT1G17520"
"36" "AT1G59830" "AT1G71820" "AT2G28390" "AT2G19950" "AT1G57760" "AT3G51460" "AT5G42360" "AT1G08590" "AT4G38250" "AT5G07800"
"37" "AT1G01910" "AT2G28390" "AT1G71820" "AT1G18190" "AT1G35320" "AT3G04780" "AT1G76940" "AT1G62970" "AT1G65720" "AT1G34280"
"38" "AT3G57890" "AT2G44525" "AT3G51100" "AT5G37180" "AT5G45300" "AT5G66090" "AT5G19660" "AT5G06430" "AT5G20650" "AT3G28320"
"39" "AT5G53485" "AT5G12370" "AT1G09010" "AT3G53690" "AT2G03050" "AT4G00660" "AT1G21830" "AT2G09910" "AT1G16180" "AT1G49110"
"40" "AT2G28390" "AT5G53440" "AT1G25420" "AT5G42660" "AT1G27240" "AT3G25220" "AT3G04460" "AT1G72530" "AT5G47120" "AT3G63100"
"41" "AT1G71820" "AT1G76850" "AT5G62590" "AT2G43040" "AT3G27180" "AT2G02560" "AT3G53090" "AT2G43840" "AT5G21090" "AT1G35370"
"42" "AT1G52730" "AT1G25420" "AT4G34270" "AT1G57830" "AT3G15740" "AT4G40045" "AT1G51745" "AT1G76820" "AT5G08290" "AT2G45320"
"43" "AT3G51100" "AT4G34270" "AT2G43105" "AT1G27240" "AT2G22890" "AT2G25170" "AT1G64630" "AT5G27200" "AT2G16510" "AT4G11770"
"44" "AT5G12370" "AT2G22040" "AT2G22040" "AT5G25640" "AT4G02900" "AT2G30710" "AT4G13630" "AT2G16970" "AT5G39510" "AT5G49500"
"45" "AT5G62590" "AT2G32170" "AT1G51720" "AT2G43690" "AT3G49740" "AT3G51780" "AT2G22530" "AT1G13400" "AT1G11650" "AT3G45460"
