"GSM798295" "GSM798296" "GSM798297" "GSM798298"
"AT1G01010" 206 19 149 201
"AT1G01020" 124 62 501 435
"AT1G01030" 27 25 17 40
"AT1G01040" 30 67 248 292
"AT1G01046" 1 3 3 2
"AT1G01050" 1643 1345 1354 1590
"AT1G01060" 22 12 80 655
"AT1G01070" 111 74 78 80
"AT1G01073" 0 0 0 0
"AT1G01080" 498 778 401 600
"AT1G01090" 2971 2508 1444 2366
"AT1G01100" 13029 9388 18669 18797
"AT1G01110" 57 47 48 47
"AT1G01115" 0 0 0 0
"AT1G01120" 3159 784 1436 1066
"AT1G01130" 25 17 63 42
"AT1G01140" 631 86 1020 552
"AT1G01150" 0 0 0 5
"AT1G01160" 560 393 789 870
"AT1G01170" 1161 408 590 800
"AT1G01180" 252 268 44 29
"AT1G01183" 0 0 0 2
"AT1G01190" 1 3 3 3
"AT1G01200" 8 14 11 42
"AT1G01210" 764 229 736 1110
"AT1G01220" 88 80 457 422
"AT1G01225" 59 28 9 17
"AT1G01230" 662 213 449 511
"AT1G01240" 311 145 28 88
"AT1G01250" 56 29 7 0
"AT1G01260" 58 76 145 279
"AT1G01270" 1 0 3 1
"AT1G01280" 0 0 0 0
"AT1G01290" 200 34 259 436
"AT1G01300" 507 898 1625 3061
"AT1G01305" 0 0 0 0
"AT1G01310" 4 0 15 2
"AT1G01320" 402 320 2381 2988
"AT1G01340" 20 11 71 166
"AT1G01350" 100 24 280 507
"AT1G01355" 0 0 4 14
"AT1G01360" 187 65 206 181
"AT1G01370" 43 51 96 133
"AT1G01380" 16 15 32 28
"AT1G01390" 37 107 13 12
"AT1G01400" 0 0 0 0
"AT1G01410" 0 0 0 0
"AT1G01420" 97 66 35 39
"AT1G01430" 1070 881 421 505
"AT1G01440" 66 65 196 236
"AT1G01448" 22 38 84 70
"AT1G01450" 0 0 0 2
"AT1G01453" 7 18 104 106
"AT1G01460" 0 0 0 2
"AT1G01470" 5401 1467 2414 4241
"AT1G01471" 0 0 0 0
"AT1G01480" 6 13 49 112
"AT1G01490" 1232 811 2469 3081
"AT1G01500" 305 333 336 438
"AT1G01510" 343 340 652 789
"AT1G01520" 5 3 209 251
"AT1G01530" 0 0 0 2
"AT1G01540" 453 395 1013 949
"AT1G01550" 1797 1610 2782 3510
"AT1G01560" 2 0 23 18
"AT1G01570" 36 23 22 30
"AT1G01580" 15 119 82 299
"AT1G01590" 0 1 13 9
"AT1G01600" 39 10 129 178
"AT1G01610" 736 446 1211 1853
"AT1G01620" 23530 20493 1794 1609
"AT1G01630" 513 231 894 903
"AT1G01640" 138 47 65 81
"AT1G01650" 264 274 377 423
"AT1G01660" 15 27 45 46
"AT1G01670" 13 0 81 64
"AT1G01680" 0 0 9 25
"AT1G01690" 11 13 78 71
"AT1G01695" 0 0 11 10
"AT1G01700" 5 0 38 60
"AT1G01710" 252 182 311 223
"AT1G01720" 1129 531 1397 1318
"AT1G01725" 307 54 164 173
"AT1G01730" 656 298 700 790
"AT1G01740" 9 1 102 93
"AT1G01750" 142 142 619 605
"AT1G01760" 14 6 59 73
"AT1G01770" 112 73 456 324
"AT1G01780" 148 148 290 225
"AT1G01790" 142 502 190 217
"AT1G01800" 863 340 604 817
"AT1G01810" 10 0 69 54
"AT1G01820" 772 272 579 568
"AT1G01830" 162 133 184 238
"AT1G01840" 65 12 31 49
"AT1G01860" 15 12 114 55
"AT1G01870" 0 0 0 0
"AT1G01880" 18 10 34 81
"AT1G01890" 0 0 0 0
"AT1G01900" 139 179 186 268
"AT1G01910" 511 487 945 1455
"AT1G01920" 114 72 278 115
"AT1G01930" 44 53 201 246
"AT1G01940" 234 83 773 964
"AT1G01950" 105 85 355 440
"AT1G01960" 303 615 1048 2049
"AT1G01970" 151 119 246 404
"AT1G01980" 0 0 1 0
"AT1G01990" 337 403 307 671
"AT1G02000" 233 253 218 295
"AT1G02010" 8 10 98 78
"AT1G02020" 148 208 330 422
"AT1G02030" 2 2 6 6
"AT1G02040" 1 0 8 1
"AT1G02050" 79 39 100 170
"AT1G02060" 62 66 126 174
"AT1G02065" 19 44 0 3
"AT1G02070" 1 2 2 2
"AT1G02074" 0 1 0 0
"AT1G02080" 306 478 1776 1909
"AT1G02090" 528 435 1089 1657
"AT1G02100" 369 204 448 423
"AT1G02110" 442 602 719 915
"AT1G02120" 853 245 980 1044
"AT1G02130" 806 834 905 1157
"AT1G02136" 0 0 0 0
"AT1G02140" 3100 1444 4165 4769
"AT1G02145" 110 119 271 292
"AT1G02150" 936 1063 1547 2818
"AT1G02160" 754 240 903 1014
"AT1G02170" 501 740 627 911
"AT1G02180" 171 66 113 157
"AT1G02190" 7 10 2 3
"AT1G02205" 486 559 1289 1841
"AT1G02210" 0 0 0 0
"AT1G02220" 22 2 26 9
"AT1G02228" 0 0 0 0
"AT1G02230" 0 5 17 21
"AT1G02250" 0 0 0 0
"AT1G02260" 79 54 236 235
"AT1G02270" 203 75 460 435
"AT1G02280" 934 400 813 1366
"AT1G02290" 91 65 101 205
"AT1G02300" 29 14 407 233
"AT1G02305" 1759 954 1033 2033
"AT1G02310" 4 0 8 9
"AT1G02320" 1 0 0 3
"AT1G02330" 270 37 710 921
"AT1G02335" 166 92 31 24
"AT1G02340" 58 15 63 79
"AT1G02350" 21 14 27 21
"AT1G02360" 481 411 401 600
"AT1G02370" 72 31 113 232
"AT1G02380" 12 10 51 75
"AT1G02390" 3 14 24 36
"AT1G02391" 0 0 0 0
"AT1G02400" 169 47 226 230
"AT1G02405" 17 4 7 9
"AT1G02410" 116 43 409 518
"AT1G02420" 31 20 34 80
"AT1G02430" 24 18 35 41
"AT1G02440" 0 3 4 3
"AT1G02450" 0 0 2 3
"AT1G02460" 15 16 61 99
"AT1G02470" 0 7 11 21
"AT1G02475" 318 135 185 190
"AT1G02480" 0 0 0 0
"AT1G02490" 0 3 0 3
"AT1G02500" 8596 7962 3897 7300
"AT1G02510" 0 0 0 0
"AT1G02520" 11 14 494 533
"AT1G02530" 3 0 23 16
"AT1G02540" 0 0 0 0
"AT1G02550" 0 0 0 0
"AT1G02560" 2710 2308 3179 3997
"AT1G02570" 36 50 71 66
"AT1G02575" 5 9 15 9
"AT1G02580" 0 0 5 9
"AT1G02590" 0 0 2 0
"AT1G02600" 0 0 0 0
"AT1G02610" 75 71 7 23
"AT1G02620" 0 7 0 5
"AT1G02630" 0 10 3 19
"AT1G02640" 249 1347 978 1741
"AT1G02650" 13 20 21 58
"AT1G02660" 190 576 265 326
"AT1G02670" 4 10 86 120
"AT1G02680" 175 83 191 254
"AT1G02681" 0 0 0 1
"AT1G02690" 90 125 254 297
"AT1G02700" 14 19 179 460
"AT1G02710" 113 115 106 32
"AT1G02720" 111 142 139 181
"AT1G02730" 253 290 336 595
"AT1G02740" 104 58 66 144
"AT1G02750" 194 149 335 484
"AT1G02760" 0 0 0 0
"AT1G02770" 12 5 438 667
"AT1G02780" 15341 14830 29042 43825
"AT1G02790" 0 0 2 1
"AT1G02800" 13 30 6 12
"AT1G02810" 119 93 304 261
"AT1G02813" 1 0 0 1
"AT1G02816" 686 437 227 248
"AT1G02820" 15 13 5 16
"AT1G02830" 0 0 0 0
"AT1G02840" 1573 1684 2310 3087
"AT1G02850" 409 105 1693 2241
"AT1G02860" 173 63 376 413
"AT1G02870" 444 257 719 1293
"AT1G02880" 237 95 457 1077
"AT1G02890" 256 385 1432 2107
