"Gene","Rank"
"AT4G36960",1
"AT5G42470",2
"AT1G22860",3
"AT4G12640",4
"AT2G35330",5
"AT2G32760",6
"AT4G31440",7
"AT1G02145",8
"AT5G58100",9
"AT3G09180",10
"AT2G27900",11
"AT5G47790",12
"AT2G28390",13
"AT1G75420",14
"AT1G35470",15
"AT3G45190",16
"AT1G64840",17
"AT4G26100",18
"AT1G48050",19
"AT5G20930",20
"AT5G25060",21
"AT1G75340",22
"AT4G35140",23
"AT3G15920",24
"AT3G05090",25
"AT2G47330",26
"AT5G22120",27
"AT3G58030",28
"AT2G25740",29
"AT5G62880",30
"AT2G21230",31
"AT2G47350",32
"AT1G55520",33
"AT3G12640",34
"AT2G28310",35
"AT3G23900",36
"AT3G51310",37
"AT3G19420",38
"AT5G37380",39
"AT2G45690",40
"AT2G35738",41
"AT5G58440",42
"AT2G04940",43
"AT3G54190",44
"AT2G22720",45
"AT5G13560",46
"AT1G73440",47
"AT2G26460",48
"AT2G23140",49
"AT5G53180",50
"AT2G44150",51
"AT1G18560",52
"AT2G26000",53
"AT1G11060",54
"AT3G27530",55
"AT5G46210",56
"AT1G54390",57
"AT2G47760",58
"AT2G32700",59
"AT3G06340",60
"AT2G29210",61
"AT1G51690",62
"AT5G13050",63
"AT2G46180",64
"AT1G55170",65
"AT4G23040",66
"AT4G17640",67
"AT1G32050",68
"AT4G17150",69
"AT4G02560",70
"AT1G55460",71
"AT2G27350",72
"AT1G54610",73
"AT1G69670",74
"AT2G20000",75
"AT5G19280",76
"AT1G26170",77
"AT5G08390",78
"AT5G18230",79
"AT1G49590",80
"AT3G51620",81
"AT1G31870",82
"AT2G44950",83
"AT2G44530",84
"AT2G42030",85
"AT3G61350",86
"AT1G55750",87
"AT4G16650",88
"AT1G67140",89
"AT2G17020",90
"AT5G51880",91
"AT1G11880",92
"AT2G35360",93
"AT2G44750",94
"AT1G55630",95
"AT5G49060",96
"AT4G06634",97
"AT1G80040",98
"AT2G17030",99
"AT5G18390",100
"AT5G21010",101
"AT5G16610",102
"AT5G20170",103
"AT1G12470",104
"AT4G17020",105
"AT1G08030",106
"AT1G03365",107
"AT3G01340",108
"AT3G23980",109
"AT5G19010",110
"AT1G24764",111
"AT1G71820",112
"AT3G53390",113
"AT2G43070",114
"AT2G17390",115
"AT1G03030",116
"AT4G15880",117
"AT5G50870",118
"AT2G38950",119
"AT1G50730",120
"AT1G03280",121
